region,timePeriod,S_proportion,I_proportion,R_proportion,V_proportion
1,1,0.8283893821447972,0.02178525323578161,0.1498253646194207,0.0
1,2,0.6242885439009864,0.017210350056267473,0.15140376050654641,0.2070973455361993
1,3,0.4733154565912327,0.01384572884582242,0.15198985880823163,0.1540011625198846
1,4,0.35956640124478795,0.011123697189036174,0.1518576646896897,0.11678885252260933
1,5,0.27387984275261085,0.008928451346628322,0.1511564878055935,0.0887237117859709
1,6,0.20932024893842974,0.00716038863653847,0.15000833283227355,0.0675934823541657
1,7,0.16066628818400944,0.005738157169102162,0.14851184778930113,0.05165412741106577
1,8,0.12398649436790377,0.004595387387121042,0.14674662383902656,0.0396500307718917
1,9,0.09632130356042728,0.003678134322905753,0.14477672271354144,0.030605660726058505
1,10,0.07544256873185187,0.0029426059362704458,0.14265359646708084,0.023774269282846233
1,11,0.05967274117105899,0.0023533066841394815,0.14041847178435599,0.018626445330287716
1,12,0.04774918976728424,0.0018815571470931873,0.13810429675233815,0.01473192083946187
1,13,0.038721297468904556,0.0015041821108151695,0.13573733781818095,0.011789978233426443
1,14,0.0318736196403763,0.0012025107913152628,0.13333846930508853,0.009562424584891874
1,15,0.026667608362232913,0.0009615062467638523,0.13092422718516297,0.00787422968974869
1,16,0.022697933112275432,0.0007690783817195906,0.12850765895328012,0.006588159793660741
1,17,0.019659484611208783,0.0006155106541098377,0.1260990122343756,0.005609528419582222
1,18,0.017322688987289923,0.0004930128984923684,0.12370628922705117,0.0048587758686063735
1,19,0.015514730283694529,0.00039533501473064175,0.12133569615119351,0.004282678568679099
1,20,0.014105588421481558,0.00031747528931246527,0.11899200258126308,0.0038358557852368413
1,21,0.012997389925588798,0.00025542768477805795,0.11667883234039343,0.003488421105241643
1,22,0.012116503302051884,0.000205991418406482,0.11439889550738896,0.0032144632703447833
1,23,0.01140750001939014,0.00016660664878188626,0.11215417579510652,0.002997229412468703
1,24,0.010828680824569422,0.00013523091397971493,0.10994607967544856,0.002821902710722848
1,25,0.010348651239043266,0.00011023281481039583,0.10777555657387533,0.002679114132286473
1,26,0.009943790702082822,9.031225622961788e-05,0.105643194333508,0.0025603716684379518
1,27,0.009596310629916656,7.443193028186588e-05,0.10354929602064607,0.0024604527851050826
1,28,0.009292823420701464,6.176607052872567e-05,0.10149394080559232,0.002374473129628113
1,29,0.009023241112934227,5.1656435838895154e-05,0.0994770328642915,0.002299535551994072
1,30,0.00877996684750644,4.357952465288003e-05,0.09749834005853185,0.002232814922713616
1,31,0.008557270086027602,3.7118366457645126e-05,0.09555752495753832,0.0021727160759766806
1,32,0.008350830224431236,3.194163237309155e-05,0.09365416931534366,0.002117590360747134
1,33,0.008157381958237772,2.7785585959442625e-05,0.09178779367183512,0.0020665701421673476
1,34,0.007974458043536706,2.444082992927133e-05,0.0899578727714499,0.0020186797881377697
1,35,0.007800187785962906,2.174076478883036e-05,0.08816384789030605,0.0019734571642028636
1,36,0.007633152368920329,1.9553220066040437e-05,0.08640513649310559,0.0019303123748486979
1,37,0.007472270130300846,1.7773070263864626e-05,0.08468113993945733,0.0018890085301117748
1,38,0.007316715481815899,1.6316980787237742e-05,0.08299124948542361,0.0018491774472740937
1,39,0.007165853375543137,1.5118673645883101e-05,0.08133485106168042,0.0018107067579430827
1,40,0.007019194120470393,1.4125653823569065e-05,0.07971132896191245,0.0017733562763063535
1,41,0.006876355732354107,1.3296160833568717e-05,0.07812006876997714,0.0017370819887673923
1,42,0.006737038994552798,1.2597150854983993e-05,0.07656045958835264,0.0017017181132008528
1,43,0.006601005618813659,1.2002319501844382e-05,0.07503189579826512,0.0016672577470729709
1,44,0.006468064707546276,1.1490877991679992e-05,0.0735337783693952,0.001633578827232685
1,45,0.0063380598863199385,1.104625610024258e-05,0.07206551588638556,0.001600694235122222
1,46,0.006210862174818888,1.0655378872513915e-05,0.07062652528243889,0.0015685080292287626
1,47,0.00608636221705523,1.0307801484506652e-05,0.06921623240635333,0.0015370433031439757
1,48,0.00596446674394993,9.995300353048747e-06,0.067834072396538,0.0015062201212323678
1,49,0.00584509370710553,9.711282524993513e-06,0.06647948996168139,0.001476066529112084
1,50,0.005728170744853896,9.450573362324937e-06,0.06515193953177802,0.0014465127614852618
1,51,0.005613631976890835,9.209000833826441e-06,0.06385088536154852,0.001417588946539523
1,52,0.005501417579364492,8.983305339303013e-06,0.06257580154449266,0.0013892321047573137
1,53,0.005391471536460796,8.770835904281944e-06,0.061326172007724056,0.0013614728986764836
1,54,0.005283741821486843,8.569535207287899e-06,0.06010149044310948,0.001334253155128434
1,55,0.005178178706528606,8.377707865687203e-06,0.05890126023664081,0.0013076032501103511
1,56,0.005074735267130375,8.194051130275864e-06,0.05772499435055979,0.0012814787392690262
1,57,0.004973366124751666,8.01748227373711e-06,0.056572215214285945,0.0012558690293899034
1,58,0.004874027588143368,7.84713317666715e-06,0.05544245458127771,0.0012307828408940175
1,59,0.00477667761114202,7.68232853284434e-06,0.05433525338761925,0.0012061990686269017
1,60,0.004681275266795168,7.522509418642445e-06,0.05325016160885875,0.001182107412099236
1,61,0.004587780756394544,7.3672218723071105e-06,0.052186738103659494,0.0011584977425777997
1,62,0.004496155306794875,7.216095058928866e-06,0.051144550458179484,0.0011353602116728578
1,63,0.004406361091376473,7.068824151619599e-06,0.05012317482897827,0.0011126852245819901
1,64,0.004318361167357741,6.925156775400781e-06,0.049122195785470536,0.0010904634205982984
1,65,0.004232119425433699,6.784882274387567e-06,0.04814120615268396,0.0010686856576334522
