region,timePeriod,S
1,139,122998.17374374192
1,140,123000.21946405496
1,141,123017.52767397132
1,142,122954.45904278553
1,143,122898.907969779
1,144,122933.77269226621
1,145,122967.24520364826
1,146,122998.95276342519
1,147,123028.71157536184
1,148,123056.46531891555
1,149,123082.24109251372
1,150,123106.11817009434
1,151,123128.2061356841
1,152,123148.1063994061
1,153,123166.1373915176
1,154,123182.56159548242
1,155,123197.59593703672
2,1,15034.2241924124
2,2,13974.742247782928
2,3,13175.5844004177
2,4,12578.5002799239
2,5,12138.092472891007
2,6,11818.971213138437
2,7,11593.543955775116
2,8,11440.296795548486
2,9,11341.03689151915
2,10,11283.398240814107
2,11,11257.652751286747
2,12,11257.934925785032
2,13,11276.286968928822
2,14,11308.057934133622
2,15,11349.607926604816
2,16,11398.095491285676
2,17,11451.309423391538
2,18,11507.53572463319
2,19,11565.452366952015
2,20,11624.363834321342
2,21,11683.34173861418
2,22,11743.586195240705
2,23,11803.830881957449
2,24,11863.208354422208
2,25,11921.137988831812
2,26,11976.755709260411
2,27,12030.075547497208
2,28,12081.12858863283
2,29,12129.958992364356
2,30,12176.620768120356
2,31,12221.36934109927
2,32,12266.084243646454
2,33,12309.988186180111
2,34,12352.588851941338
2,35,12393.591426838855
2,36,12432.836500936306
2,37,12469.896745634185
2,38,12504.943729403733
2,39,12538.373187332676
2,40,12570.189512221312
2,41,12600.425511286827
2,42,12629.002943505042
2,43,12656.03555826607
2,44,12681.624945070485
2,45,12705.862500732017
2,46,12728.831012786368
2,47,12750.605938236962
2,48,12771.256440224202
2,49,12790.846232131329
2,50,12809.434268308307
2,51,12827.07531242995
2,52,12845.898016592295
2,53,12863.900388989452
2,54,12882.144125642882
2,55,12899.449985231788
2,56,12916.512953357087
2,57,12933.096043584857
2,58,12949.057345680136
2,59,12964.319726808273
2,60,12978.849517700772
2,61,12992.64161627661
2,62,13007.636032350592
2,63,13023.065099000356
2,64,13038.42909292479
2,65,13053.413495246295
2,66,13067.830467164102
2,67,13081.577673665297
2,68,13094.609495370569
2,69,13106.917053703728
2,70,13118.514479159978
2,71,13129.429579816971
2,72,13141.65081224395
2,73,13154.413966141623
2,74,13144.346884011627
2,75,13157.770364853837
2,76,13171.003268861386
2,77,13183.793820541196
2,78,13195.999565983595
2,79,13207.550667720821
2,80,13218.4244465157
2,81,13228.62788704898
2,82,13238.475491080915
2,83,13249.37820946018
2,84,13260.695629691385
2,85,13272.011328070132
2,86,13283.06346270518
2,87,13293.695730864838
2,88,13297.13543755744
2,89,13300.38627547546
2,90,13310.734738695366
2,91,13320.185964687656
2,92,13331.007626181527
2,93,13342.413531916194
2,94,13333.03679198679
2,95,13324.520176315342
2,96,13339.423268562272
2,97,13353.428199782193
2,98,13366.465730274202
2,99,13378.532232195346
2,100,13389.66339281588
2,101,13399.916666784755
2,102,13409.616392960967
2,103,13420.247122411241
2,104,13431.198078000407
2,105,13442.077161964571
2,106,13452.642333040529
2,107,13462.753274229948
2,108,13472.337557774945
2,109,13481.367130382067
2,110,13486.131744963628
2,111,13494.440437315774
2,112,13504.151815543859
2,113,13514.49576342274
2,114,13524.97071084394
2,115,13535.260223535626
2,116,13545.174116768294
2,117,13554.60711612851
2,118,13563.510030303518
2,119,13571.869810473941
2,120,13579.69589259567
2,121,13587.01095803588
2,122,13595.798128847191
2,123,13578.7908110387
2,124,13563.38573668939
2,125,13578.163481075873
2,126,13592.166973390747
2,127,13605.256520776187
2,128,13617.38538233713
2,129,13628.56440933883
2,130,13638.838206973935
2,131,13648.269331020681
2,132,13658.82135961006
2,133,13669.787671752218
2,134,13680.716115917612
2,135,13691.328730430043
2,136,13701.465285802846
2,137,13711.043831122277
2,138,13720.033332024765
2,139,13728.43486948794
2,140,13736.268868817155
2,141,13743.566550821552
2,142,13752.306007981511
2,143,13761.72719938969
2,144,13771.33308865275
2,145,13780.808224160239
2,146,13789.961212891794
2,147,13798.684298515418
2,148,13806.925142560589
2,149,13814.667278341847
2,150,13821.916701150793
2,151,13828.58815911806
2,152,13834.735643204442
2,153,13840.42533631031
2,154,13845.711715507694
2,155,13850.639900635186
3,1,118110.119141573
3,2,108427.06348426414
3,3,101019.07311473112
3,4,95349.35729812994
3,5,91021.30843594378
3,6,87734.89876178169
3,7,85255.09165320621
3,8,83409.60260167276
3,9,82057.93278687698
3,10,81090.29530245408
3,11,80420.66547951213
3,12,79982.97977564944
3,13,79723.28853835982
3,14,79599.58611536471
3,15,79579.08787890796
3,16,79636.18586338415
3,17,79750.88502911608
3,18,79907.59268886335
3,19,80094.17423803142
3,20,80301.21318469639
3,21,80521.42965882464
3,22,80756.52042162778
3,23,80997.298809277
3,24,81238.38020407286
3,25,81476.47058238098
3,26,81709.48783500136
3,27,81934.08600992919
3,28,82151.45845170539
3,29,82361.09251297737
3,30,82562.6820603315
3,31,82758.81085659465
3,32,82946.54567372166
