region,timePeriod,V
2,105,16267.454883395767
2,106,16277.244563800612
2,107,16286.767886467233
2,108,16296.128991834397
2,109,16305.388107117045
2,110,16314.579653041508
2,111,16323.722997292527
2,112,16332.828810381481
2,113,16336.483005556574
2,114,16345.587713175775
2,115,16354.69492390824
2,116,16363.803266828449
2,117,16372.908858449866
2,118,16382.007166350031
2,119,16391.09389182781
2,120,16400.165327522594
2,121,16409.218446838095
2,122,16418.25086678084
2,123,16427.28301803638
2,124,16436.320650984093
2,125,16445.36250135618
2,126,16454.404406145095
2,127,16463.44141666331
2,128,16472.468804913176
2,129,16481.48247644677
2,130,16490.4790790936
2,131,16506.236045280086
2,132,16519.19821185443
2,133,16530.500675873405
2,134,16540.819127518356
2,135,16550.554091548045
2,136,16566.86026504778
2,137,16582.332684283127
2,138,16596.663342531996
2,139,16609.561211952383
2,140,16620.749821571433
2,141,16639.476326039563
2,142,16655.39543393744
2,143,16668.335076392774
2,144,16679.507365507197
2,145,16689.633587031443
2,146,16699.141110154535
2,147,16708.281812872043
2,148,16717.20316282786
2,149,16725.9907782048
2,150,16734.693837196657
2,151,16751.172340994817
2,152,16774.635941012784
2,153,16804.355571560052
2,154,16839.659615314824
2,155,16879.932549308116
3,1,0.0
3,2,11811.011914157301
3,3,22471.670750121684
3,4,32100.015502025864
3,5,40800.955093680794
3,6,48668.22756745712
3,7,55785.83091799177
3,8,62229.151443878174
3,9,68065.1533870311
3,10,73356.1846038087
3,11,78156.18790312596
3,12,81401.7342914666
3,13,83939.1107634802
3,14,85409.09574202161
3,15,85857.16237391437
3,16,86133.31047221237
3,17,86459.13677436727
3,18,86765.3982927428
3,19,87048.8759760029
3,20,87235.3106199931
3,21,87322.78977004047
3,22,87425.49669452573
3,23,87536.68918973916
3,24,87635.3499460194
3,25,87702.62736897849
3,26,87801.0508608243
3,27,87880.36263359664
3,28,87935.00889904739
3,29,87982.31462306033
3,30,87978.24645327246
3,31,87982.97276247917
3,32,87983.14695764788
3,33,87980.92125461936
3,34,87977.48293956227
3,35,87973.44864637154
3,36,87969.12798968932
3,37,87964.67328859167
3,38,87960.1585185065
3,39,88004.2222407186
3,40,88001.08998833675
3,41,88005.38244708977
3,42,88005.27624685502
3,43,88002.79562884803
3,44,87999.09938547005
3,45,87994.80103620604
3,46,87990.21207578781
3,47,87985.4867979941
3,48,87980.70046372249
3,49,87975.8894202926
3,50,88019.54169054505
3,51,88028.44808347961
3,52,88027.82497206595
3,53,88024.18090361245
3,54,88019.59157510046
3,55,88014.71465263887
3,56,88009.75643791103
3,57,88004.78063918758
3,58,87999.80643541443
3,59,87994.83935100274
3,60,88038.3016025962
3,61,88081.72644361929
3,62,88125.11883705486
3,63,88168.40493087418
3,64,88211.57760262382
3,65,88209.11468877025
3,66,88252.12174776739
3,67,88248.82010821949
3,68,88291.693566723
3,69,88288.14198451565
3,70,88330.91479793243
3,71,88373.61035703472
3,72,88416.2460621967
3,73,88413.56940619253
3,74,88409.33777814098
3,75,88404.29859434132
3,76,88446.66626909464
3,77,88462.5707268926
3,78,88467.23538494745
3,79,88512.06208986077
3,80,88507.39517518532
3,81,88549.72914132268
3,82,88595.66019822274
3,83,88594.93283527817
3,84,88636.94039428276
3,85,88678.54583667719
3,86,88719.9806428094
3,87,88716.01264955668
3,88,88757.29175171863
3,89,88798.47557240383
3,90,88839.59071838619
3,91,88880.63214331516
3,92,88921.59221434231
3,93,88962.43975397905
3,94,88958.26133783588
3,95,88952.61851727057
3,96,88946.21668530461
3,97,88986.8138618052
3,98,89027.35438242083
3,99,89067.85493736072
3,100,89063.0716346431
3,101,89113.37196195344
3,102,89111.33430913281
3,103,89152.43495997084
3,104,89192.81540698877
3,105,89232.95422274976
3,106,89227.79822542597
3,107,89267.77934290467
3,108,89307.67165504277
3,109,89347.5004748971
3,110,89387.2597004088
3,111,89383.38789411636
3,112,89423.02958658877
3,113,89462.5573403214
3,114,89457.05965732563
3,115,89450.27420239881
3,116,89489.63968747437
3,117,89483.21486980401
3,118,89522.51141624503
3,119,89516.1496770006
3,120,89555.37884029676
3,121,89594.54161204249
3,122,89633.65341114276
3,123,89672.67020769652
3,124,89711.58851923632
3,125,89750.41210119528
3,126,89789.14441131683
3,127,89827.78763438486
3,128,89866.34302129738
3,129,89860.23238783663
3,130,89898.65856065988
3,131,89936.99386606604
3,132,89931.35536209207
3,133,89969.56821521571
3,134,90007.67529953457
3,135,90000.99627551895
3,136,90039.00112856223
3,137,90076.92370678722
3,138,90070.02117007923
3,139,90107.86386901798
3,140,90145.62834511451
3,141,90183.33583780377
3,142,90220.97899518012
3,143,90258.50754514863
3,144,90295.92578086475
3,145,90333.24432141978
3,146,90326.20329327193
3,147,90363.38627788465
3,148,90400.4793904433
3,149,90437.51007995753
3,150,90474.47451894937
3,151,90511.36588045262
3,152,90548.17954902838
3,153,90584.87817397894
3,154,90621.46877705198
3,155,90734.52184449203
4,1,0.0
4,2,1804.24737981064
4,3,3431.5712950823563
