region,timePeriod,administeredVaccines
1,2,48339.8340056775
1,3,35946.335350741385
1,4,27260.38680041738
1,5,20709.533910234182
1,6,15777.400277179939
1,7,12056.899803781329
1,8,9254.951582651873
1,9,7143.850904033672
1,10,5549.294838924837
1,11,4347.710363214437
1,12,3438.666034663832
1,13,2751.9695593334663
1,14,2232.022896907122
1,15,1837.9711972623804
1,16,1537.7819063971156
1,17,1309.353685585204
1,18,1134.1160281466252
1,19,999.6457007868007
1,20,895.3501139668425
1,21,814.2533007010833
1,22,750.3071587107979
1,23,699.6013005407948
1,24,658.6772431260842
1,25,625.3481043017794
1,26,597.6317133601129
1,27,574.309047288088
1,28,554.2400200252756
1,29,536.7483904042483
1,30,521.1747280001214
1,31,507.1466955901729
1,32,494.27947164415303
1,33,482.37053630413357
1,34,471.19216142796563
1,35,460.6364774395756
1,36,450.5657932876837
1,37,440.92481506457
1,38,431.62760303292987
1,39,422.64792861204256
1,40,413.9297285903238
1,41,405.4627294901296
1,42,397.20823511089026
1,43,389.1646342907846
1,44,381.3034355373444
1,45,373.6276455852886
1,46,366.11487015046083
1,47,358.77049964665423
1,48,351.5758758175744
1,49,344.53754495922624
1,50,337.6392227348439
1,51,330.8879415454693
1,52,324.2690009640331
1,53,317.7895581174701
1,54,311.43603445745856
1,55,305.21552022775774
1,56,299.117641405219
1,57,293.1399253640737
1,58,287.284407590118
1,59,281.5461618026169
1,60,275.92278370255525
1,61,270.4119090815397
1,62,265.0112391678318
1,63,259.7185343810298
1,64,254.53160978237244
1,65,249.44833146216988
1,66,244.4666136371364
1,67,239.58441628277703
1,68,234.79974316985226
1,69,230.11064020677836
1,70,225.51519401442982
1,71,221.01153067825175
1,72,216.5978146364055
1,73,212.27224767301564
1,74,208.03306799333402
1,75,203.87854936343354
1,76,199.80700030138317
1,77,195.8167633100994
1,78,191.90621414449765
1,79,188.07376110737965
1,80,184.3178443698489
1,81,180.6369353130601
1,82,177.02953588886447
1,83,173.4941779974778
1,84,170.0294228807218
1,85,166.6338605297035
1,86,163.30610910603437
1,87,160.04481437586614
1,88,156.8486491561542
1,89,153.7163127726568
1,90,150.64653052925414
1,91,147.63805318822702
1,92,144.68965646117834
1,93,141.8001405103115
1,94,138.96832945980745
1,95,136.19307091705855
1,96,133.47323550353562
1,97,130.80771639507438
1,98,128.1954288713787
1,99,125.63530987454617
1,100,123.12631757642748
1,101,120.6674309546385
1,102,118.25764937704766
1,103,115.89599219456706
1,104,113.58149834207944
1,105,111.313225947337
1,106,109.09025194767231
1,107,106.91167171436425
1,108,104.77659868450613
1,109,102.68416400022556
1,110,100.63351615510939
1,111,98.62382064768927
1,112,96.65425964184735
1,113,94.72403163400352
1,114,92.8323511269489
1,115,90.97844831019265
1,116,89.16156874669258
1,117,87.38097306584136
1,118,85.63593666258393
1,119,83.92574940254362
1,120,82.24971533303682
1,121,80.60715239985873
1,122,78.99739216972513
1,123,77.41977955825666
1,124,75.87367256339577
1,125,74.35844200414711
1,126,72.87347126453541
1,127,71.41815604267674
1,128,69.99190410486071
1,129,68.59413504454385
1,130,67.22428004615595
1,131,65.88178165362335
1,132,64.56609354351477
1,133,63.27668030271761
1,134,62.01301721055416
1,135,60.77459002524895
1,136,59.56089477466052
1,137,58.37143755119234
1,138,57.20573431079939
1,139,56.063310676008804
1,140,54.943701742874076
1,141,53.84645189178468
1,142,52.771114602053764
1,143,51.71725227020863
1,144,50.68443603191012
1,145,49.6722455874282
1,146,48.68026903060305
1,147,47.70810268122172
1,148,46.75535092074235
1,149,45.82162603129911
1,150,44.90654803792221
1,151,44.00974455390884
1,152,43.130850629282186
1,153,42.269508602276716
1,154,41.42536795378942
1,155,40.59808516473771
2,2,3758.5560481031
2,3,2825.725523057471
2,4,2173.2482600970475
2,5,1681.0216824295019
2,6,1309.977043817311
2,7,1030.059106669636
2,8,818.6786910208567
2,9,659.0228301390237
2,10,537.8025591663527
2,11,445.93639234172986
2,12,376.0251363854593
2,13,322.64119993345554
2,14,281.7012906737789
2,15,250.1347397695944
2,16,225.63226343120763
2,17,206.45708465279043
2,18,191.3029161134271
2,19,179.18717690692654
2,20,169.37070082951462
2,21,161.29736333204508
