region,timePeriod,U
43,1,0.0
43,8,0.0
43,15,0.0
43,22,0.0
43,29,0.0
43,36,0.0
43,43,0.0
43,50,0.0
44,1,0.0
44,8,0.0
44,15,0.0
44,22,0.0
44,29,0.0
44,36,0.0
44,43,0.0
44,50,0.0
45,1,0.0
45,8,1.865174681370263e-12
45,15,0.0
45,22,1.1641532182693481e-10
45,29,0.0
45,36,0.0
45,43,-1.0180135806552034e-10
45,50,0.0
46,1,-7.792712214398097e-11
46,8,-8.663416262086403e-12
46,15,0.0
46,22,0.0
46,29,0.0
46,36,0.0
46,43,-1.0180135806552034e-10
46,50,0.0
47,1,0.0
47,8,0.0
47,15,0.0
47,22,0.0
47,29,0.0
47,36,0.0
47,43,0.0
47,50,0.0
48,1,0.0
48,8,0.0
48,15,0.0
48,22,0.0
48,29,0.0
48,36,0.0
48,43,0.0
48,50,0.0
49,1,0.0
49,8,0.0
49,15,0.0
49,22,0.0
49,29,0.0
49,36,0.0
49,43,0.0
49,50,0.0
50,1,0.0
50,8,3.26281224261038e-11
50,15,0.0
50,22,0.0
50,29,-1.0180135806552034e-10
50,36,0.0
50,43,0.0
50,50,-1.0180135806552034e-10
51,1,0.0
51,8,0.0
51,15,0.0
51,22,0.0
51,29,0.0
51,36,0.0
51,43,0.0
51,50,0.0
52,1,0.0
52,8,-1.0180135806552034e-10
52,15,2.5124791136477143e-11
52,22,5.340439201972913e-11
52,29,2.3283064365386963e-10
52,36,0.0
52,43,-5.053859164425094e-12
52,50,-1.0180135806552034e-10
53,1,0.0
53,8,0.0
53,15,0.0
53,22,0.0
53,29,0.0
53,36,0.0
53,43,0.0
53,50,0.0
54,1,22.09041545612172
54,8,0.0
54,15,0.0
54,22,0.0
54,29,0.0
54,36,0.0
54,43,0.0
54,50,0.0
55,1,0.0
55,8,0.0
55,15,-1.601575722036404e-11
55,22,-3.4891824596192186e-11
55,29,0.0
55,36,0.0
55,43,0.0
55,50,-4.04906758399299e-11
56,1,0.0
56,8,0.0
56,15,0.0
56,22,0.0
56,29,0.0
56,36,0.0
