region,timePeriod,X
16,22,188.55226901046782
16,23,188.61326018701646
16,24,188.665720416616
16,25,188.7117206630505
16,26,188.75273501698368
17,0,0.0
17,1,3.93822
17,2,6.694973999999999
17,3,8.62639245
17,4,9.980245080000001
17,5,10.929746689875001
17,6,11.596118053162503
17,7,12.064213087911567
17,8,12.393433067045063
17,9,12.625362853764772
17,10,12.789115719764103
17,11,12.905074638920517
17,12,12.987511200575721
17,13,13.046418846067798
17,14,13.088796147629012
17,15,13.119545110952783
17,16,13.1420999948988
17,17,13.15886749279942
17,18,13.171534866511337
17,19,13.181285647032094
17,20,13.188950631372911
17,21,13.195113586488963
17,22,13.200185247843798
17,23,13.20445512392711
17,24,13.208127764663601
17,25,13.211348154283414
17,26,13.214219491066338
18,0,0.0
18,1,0.2772
18,2,0.47124000000000005
18,3,0.607187
18,4,0.7024808
18,5,0.7693134925000001
18,6,0.8162174597500002
18,7,0.8491653254437502
18,8,0.872338178241797
18,9,0.8886630497486329
18,10,0.900189143554449
18,11,0.9083511587820001
18,12,0.9141536315265913
18,13,0.9182999714288459
18,14,0.9212827878924121
18,15,0.9234471190222977
18,16,0.925034692438337
18,17,0.9262149083734281
18,18,0.927106528344662
18,19,0.9277928577003627
18,20,0.9283323738563981
18,21,0.9287661664923157
18,22,0.9291231460978159
18,23,0.9294236903440063
18,24,0.9296821969125627
18,25,0.9299088708269643
18,26,0.9301109759176368
19,0,0.0
19,1,19.425780000000003
19,2,33.02382600000001
19,3,42.55079755000001
19,4,49.22885092000002
19,5,53.912390535125034
19,6,57.19935355433754
19,7,59.50829291377599
19,8,61.13221308234248
19,9,62.27623678144106
19,10,63.08396898710553
19,11,63.65595136868865
19,12,64.06258038202424
19,13,64.35314997016204
19,14,64.56218149672124
19,15,64.71385473943228
19,16,64.82510962474365
19,17,64.90781747910455
19,18,64.97030094006797
19,19,65.01839792750764
19,20,65.05620645524237
19,21,65.08660602935734
19,22,65.11162265570343
19,23,65.13268437238803
19,24,65.15080014839744
19,25,65.16668513721774
19,26,65.18084837772497
20,0,0.0
20,1,0.0198
20,2,0.03366
20,3,0.0433705
20,4,0.0501772
20,5,0.054950963750000005
20,6,0.05830121675000001
20,7,0.06065461446562501
20,8,0.06230980245140626
20,9,0.0634758531470547
20,10,0.0642991367843301
20,11,0.06488213107322828
20,12,0.06529658803112214
20,13,0.06559275080952971
20,14,0.06580580551690281
20,15,0.06596039753642736
20,16,0.06607379298823976
20,17,0.06615809179074641
20,18,0.06622177683942713
20,19,0.0662707984660834
20,20,0.06630933359269356
20,21,0.06634031716987392
20,22,0.06636581421302573
20,23,0.06638728025540129
20,24,0.066405743691625
20,25,0.06642193344321438
20,26,0.0664363683482481
21,0,0.0
21,1,0.0198
21,2,0.03366
21,3,0.04337050000000003
21,4,0.050177200000000026
21,5,0.054951065000000035
21,6,0.05830141925000003
21,7,0.06065488353750002
21,8,0.06231011403562502
21,9,0.06347619060634377
21,10,0.06429948866677657
21,11,0.06488248954696273
21,12,0.06529694778908207
21,13,0.06559310830325521
21,14,0.06580615842063152
21,15,0.0659607443723773
21,16,0.06607413286470257
21,17,0.06615842421912833
21,18,0.06622210160653454
21,19,0.06627111554506164
21,20,0.06630964308100623
21,21,0.06634061924619429
21,22,0.06636610910735141
21,23,0.06638756822841063
21,24,0.06640602502048884
21,25,0.06642220841191351
21,26,0.06643663724103221
22,0,0.0
22,1,0.41778
22,2,0.710226
22,3,0.9151175500000001
22,4,1.0587389200000001
22,5,1.1594653351250002
22,6,1.2301563143375003
22,7,1.2798134547759379
22,8,1.314738254350137
22,9,1.3393421678354396
22,10,1.3567136377856341
22,11,1.369014960735729
22,12,1.3777601160865056
22,13,1.3840092426534747
22,14,1.3885047731807068
22,15,1.3917667293836056
22,16,1.3941594293177788
22,17,1.3959381833342375
22,18,1.3972819820051687
