region,timePeriod,allocatedVaccines
6,17,1129.1304579708521
6,18,1129.130576059452
6,19,1129.1307710681515
6,20,1129.1309205975078
6,21,1129.131014776351
6,22,1129.1310700634556
6,23,1129.131103474249
6,24,1129.1311262312022
6,25,1129.1310940632388
7,0,0.031207639274916564
7,1,0.031207639274916342
7,2,0.03120763928716632
7,3,0.031207639317650825
7,4,0.031207639506612768
7,5,0.03110315868054215
7,6,0.031053007936783457
7,7,0.031028935778089968
7,8,0.03101738147734002
7,9,0.031011834989383327
7,10,0.031009172933533016
7,11,0.031007895040005187
7,12,0.03100728165111398
7,13,0.031006987224446947
7,14,0.03100684589965043
7,15,0.031006778063750205
7,16,0.031006745502523164
7,17,0.031006729873138274
7,18,0.031006722371040005
7,19,0.031006718770038515
7,20,0.03100671704156338
7,21,0.031234009871173786
7,22,0.03125508193698195
7,23,0.03121544258022229
7,24,0.0312836754755506
7,25,0.03125534541472246
8,0,109.53360000000004
8,1,110.52360000000013
8,2,110.65510949497337
8,3,110.64794002294373
8,4,110.64449867632864
8,5,110.64284682993247
8,6,110.64205394363621
8,7,110.64167335813762
8,8,110.64149067704265
8,9,110.64140299001643
8,10,110.64067343520901
8,11,110.64032324890144
8,12,110.64015515947818
8,13,110.64007447655246
8,14,110.64062306599246
8,15,110.64029907168147
8,16,110.64058127970958
8,17,110.64095099112134
8,18,110.6412571490221
8,19,110.6414836048889
8,20,110.64084670206441
8,21,110.640743519353
8,22,110.64078244146482
8,23,110.64084672680744
8,24,110.64092045963017
8,25,110.6408957420093
9,0,56.615689881410205
9,1,56.61568988140884
9,2,56.61568988142203
9,3,56.61568988143749
9,4,56.6156898814816
9,5,56.61568988152116
9,6,56.615689881563
9,7,56.615689881582554
9,8,56.61568988165574
9,9,56.605566280777126
9,10,56.60070695228343
9,11,56.59837447479278
9,12,56.59725488590949
9,13,56.59671748276064
9,14,56.62811294553596
9,15,56.62913760002613
9,16,56.693455174840444
9,17,56.68632708741609
9,18,56.68290560545816
9,19,56.74813489691713
9,20,56.79354080169811
9,21,56.863861549998475
9,22,56.949180723079635
9,23,56.949968792310194
9,24,56.94516972360292
9,25,57.046700131252564
10,0,127.85850000000003
10,1,128.8485000000001
10,2,129.16763730351371
10,3,129.15926838348918
10,4,129.1552513018423
10,5,129.15332310263324
10,6,129.15239756694848
10,7,129.151953309773
10,8,129.15174006628382
10,9,129.1516377093342
10,10,129.15078610048286
10,11,129.1503773282349
10,12,129.15018111755558
10,13,129.15008693643088
10,14,129.1507088122774
10,15,129.15034022989502
10,16,129.15065868162574
10,17,129.15107159243195
10,18,129.15140412427488
10,19,129.15083449666722
10,20,129.15073597086507
10,21,129.15076748358314
10,22,129.1508160364406
10,23,129.15086893186935
10,24,129.15092616282723
10,25,129.15090080869533
11,0,195.89130000000006
11,1,196.88130000000015
11,2,197.87630328498528
11,3,197.8829705674754
11,4,197.87681601896486
11,5,197.87386183563547
11,6,197.87244382760477
11,7,197.87176318371775
11,8,197.87143647456395
11,9,197.87127965410724
11,10,197.87120438019556
11,11,197.87057810249664
11,12,197.87027748920096
11,13,197.8701331948201
11,14,197.87074668565884
11,15,197.8703584091187
11,16,197.87076230749534
11,17,197.87068295560218
11,18,197.8707214159524
11,19,197.87084651774262
11,20,197.87094165304657
11,21,197.87100492258284
11,22,197.8710490923865
11,23,197.87108433452175
11,24,197.87111662905292
11,25,197.8710850165012
12,0,8.911743529060692
12,1,8.91174352906035
12,2,8.911743529075244
12,3,8.911743529096844
12,4,8.911743529136407
12,5,8.911743529174379
12,6,8.911743529270103
12,7,8.911743529331607
12,8,8.911743529511229
12,9,8.91014999719721
12,10,8.909385101780687
12,11,8.909017952320484
12,12,8.908841720664784
12,13,8.9087571290786
12,14,8.921671619885066
12,15,8.919324282629608
12,16,8.948529569127567
12,17,8.94561216588951
12,18,8.94421181233586
12,19,8.968141863943837
12,20,8.992674221514669
12,21,9.01144111261245
12,22,9.028727184870467
12,23,9.02687175352529
12,24,9.048443763253628
12,25,9.074535299925557
13,0,2.334433722791745
13,1,2.334433722791745
13,2,2.3344337228080305
13,3,2.3344337228268457
13,4,2.3344337228527094
13,5,2.3344337228829786
13,6,2.334433722937747
13,7,2.3344337231560535
13,8,2.3335644105393105
13,9,2.3331471412441265
13,10,2.3329468525822397
13,11,2.3328507148418116
13,12,2.3328045669168502
13,13,2.3388548564332012
13,14,2.3365152133163893
13,15,2.3345635263314715
13,16,2.3336267167042912
13,17,2.3481754003669413
13,18,2.362461973011425
13,19,2.3609938331639073
13,20,2.373208824351202
13,21,2.372307573550945
13,22,2.386059312904744
13,23,2.397066240008331
13,24,2.408353397749039
13,25,2.4071517329402177
14,0,0.0001600000149058513
14,1,0.0001651000668948643
14,2,0.00016034814321073262
14,3,0.00015806717396030934
14,4,0.00015697235198130355
14,5,0.00015644681053326835
14,6,0.00015619455063822964
14,7,0.00015607346588863118
14,8,0.0001560153452088518
14,9,0.0001559874472825754
14,10,0.00015597405627798723
14,11,0.00015596762859580732
14,12,0.00020481348130705322
14,13,0.0002347596821463371
14,14,0.00023475968214635619
14,15,0.00022607586375332338
14,16,0.00022190723390675727
14,17,0.00021990629402973878
14,18,0.0002189458428887987
14,19,0.000276493023379074
14,20,0.0002764930233790983
14,21,0.00026850342873846824
14,22,0.0003141667805219452
14,23,0.0003141667805219747
14,24,0.00035724024536240063
14,25,0.0003572402453625776
15,0,813.8394000000002
15,1,814.8294000000003
15,2,815.8206042916581
15,3,816.8130143399416
15,4,817.8066661462555
15,5,818.8015957120044
15,6,819.7978390385928
15,7,820.7954321274251
15,8,821.7944109799064
15,9,822.0616877322881
15,10,822.0613750039246
15,11,822.0612248942763
15,12,822.0611528416113
15,13,822.0605533639763
15,14,822.060739526752
15,15,822.0607315582096
15,16,822.0606769814731
15,17,822.061147592826
15,18,822.0615589795893
15,19,822.0607778273604
15,20,822.0607262821443
15,21,822.060778805253
15,22,822.0608248600138
15,23,822.0608583400752
15,24,822.060884593667
15,25,822.0608595653125
16,0,281.2689000000001
16,1,282.25890000000015
16,2,283.2523845658374
16,3,284.12862368155464
16,4,284.1197867240741
16,5,284.1155449844607
16,6,284.1135089493846
16,7,284.1125316525164
16,8,284.112062549984
16,9,284.1118373807321
16,10,284.111729299323
16,11,284.1108300636777
16,12,284.1103984305687
16,13,284.11019124667564
16,14,284.110882388051
16,15,284.1104235462686
16,16,284.110436416338
16,17,284.1105698429825
16,18,284.11080362128945
16,19,284.1110152202643
16,20,284.11117534531553
16,21,284.1112844921797
16,22,284.11135572090046
16,23,284.1114039491907
16,24,284.11144047148986
16,25,284.1113995393014
17,0,6.1721496022298705
17,1,6.172149602229757
17,2,6.172149602242774
17,3,6.172149602252892
17,4,6.17214960231019
17,5,6.172149602358337
17,6,6.172149602411485
17,7,6.172149602468613
17,8,6.172149602607705
17,9,6.171045944128084
17,10,6.170516188201477
17,11,6.170261905632744
17,12,6.170139850133298
17,13,6.170081262995046
17,14,6.180719366987177
17,15,6.178789298573327
17,16,6.203604498251283
17,17,6.201122309014986
17,18,6.199930858181869
17,19,6.2212393765513605
17,20,6.244977036052342
17,21,6.245624863626003
17,22,6.2440537662501425
17,23,6.277455861742288
17,24,6.2983787524403265
17,25,6.325401949997538
18,0,0.030766547376788876
18,1,0.030766547376788654
18,2,0.030766547392550046
18,3,0.030766547407816723
18,4,0.030766547561303044
18,5,0.030663543436225023
18,6,0.03061410162306056
18,7,0.03059036982914965
18,8,0.030578978852017
18,9,0.03057351073720717
18,10,0.030570886390565058
18,11,0.030569626555154675
18,12,0.030569021834159646
18,13,0.030568731568083596
18,14,0.030568592240369133
18,15,0.03056852536306922
18,16,0.030568493261969892
18,17,0.030568477853446553
18,18,0.03056847045736126
18,19,0.03056846690724662
18,20,0.03056846520319706
18,21,0.030794342942849797
18,22,0.03081573262817599
18,23,0.030776241324720836
18,24,0.03084449344669054
18,25,0.030816208901911328
19,0,97.12890000000003
19,1,98.11890000000007
19,2,98.12339834199464
19,3,98.11704081396411
19,4,98.1139892004925
19,5,98.11252442598142
19,6,98.11182133418306
19,7,98.11148385008775
19,8,98.1113218576293
19,9,98.11124410114395
19,10,98.11059716855172
19,11,98.11028664090627
19,12,98.11013758764076
19,13,98.11006604207262
19,14,98.11028916343787
19,15,98.1102721535578
19,16,98.11053076394248
19,17,98.11087353460091
19,18,98.11116591918227
19,19,98.11139449287174
19,20,98.11080903475447
19,21,98.11072102026465
19,22,98.11077317703663
19,23,98.11075223144069
19,24,98.11082996190319
19,25,98.11091862917047
20,0,0.0001600000149058513
20,1,0.0001651000668948643
20,2,0.00016034814321073262
20,3,0.00015806717396030934
20,4,0.00015697235198130355
20,5,0.00015644681053326835
20,6,0.00015619455063822964
20,7,0.00015607346588863118
20,8,0.0001560153452088518
20,9,0.0001559874472825754
20,10,0.00015597405627798723
20,11,0.00015596762859580732
20,12,0.00020481348130705322
20,13,0.0002347596821463371
20,14,0.00023475968214635619
20,15,0.00022607586375332338
20,16,0.00022190723390675727
20,17,0.00021990629402973878
20,18,0.0002189458428887987
20,19,0.000276493023379074
20,20,0.0002764930233790983
20,21,0.00026850342873846824
20,22,0.0003141667805219452
20,23,0.0003141667805219747
20,24,0.00035724024536240063
20,25,0.0003572402453625776
21,0,0.0001600000149058513
21,1,0.0001651000668948643
21,2,0.00016034814321073262
21,3,0.00015806717396030934
21,4,0.00015697235198130355
21,5,0.00015644681053326835
21,6,0.00015619455063822964
21,7,0.00015607346588863118
21,8,0.0001560153452088518
21,9,0.0001559874472825754
21,10,0.00015597405627798723
21,11,0.00015596762859580732
21,12,0.00020481348130705322
21,13,0.0002347596821463371
21,14,0.00023475968214635619
21,15,0.00022607586375332338
21,16,0.00022190723390675727
21,17,0.00021990629402973878
21,18,0.0002189458428887987
21,19,0.000276493023379074
21,20,0.0002764930233790983
21,21,0.00026850342873846824
21,22,0.0003141667805219452
21,23,0.0003141667805219747
21,24,0.00035724024536240063
21,25,0.0003572402453625776
22,0,0.069651611923824
22,1,0.06965161192382134
22,2,0.06965161193867968
22,3,0.06965161197750906
22,4,0.06965161203041163
22,5,0.06965161231929785
22,6,0.0695393058286138
22,7,0.06948539890755347
22,8,0.06945952379900168
22,9,0.06944710392817212
22,10,0.06944114201734233
22,11,0.0694382807839545
22,12,0.0694369071853668
22,13,0.06943624785804786
22,14,0.06943593138093848
22,15,0.06943577947193134
22,16,0.06943570655561304
22,17,0.0694356715557878
22,18,0.06943565475588057
22,19,0.06943564669193385
22,20,0.07009929973560158
22,21,0.0698924546553663
22,22,0.06965491064371483
22,23,0.06979437873966547
22,24,0.06972992779082092
22,25,0.06986078051705606
23,0,0.0001600000149058513
23,1,0.0001651000668948643
23,2,0.00016034814321073262
23,3,0.00015806717396030934
23,4,0.00015697235198130355
23,5,0.00015644681053326835
23,6,0.00015619455063822964
23,7,0.00015607346588863118
23,8,0.0001560153452088518
23,9,0.0001559874472825754
23,10,0.00015597405627798723
23,11,0.00015596762859580732
23,12,0.00020481348130705322
23,13,0.0002347596821463371
23,14,0.00023475968214635619
23,15,0.00022607586375332338
23,16,0.00022190723390675727
23,17,0.00021990629402973878
23,18,0.0002189458428887987
23,19,0.000276493023379074
23,20,0.0002764930233790983
23,21,0.00026850342873846824
23,22,0.0003141667805219452
23,23,0.0003141667805219747
23,24,0.00035724024536240063
23,25,0.0003572402453625776
24,0,0.2955588362987209
24,1,0.2955588362987209
24,2,0.2955588363175076
24,3,0.2955588363366745
24,4,0.2955588363934291
24,5,0.2955588364514307
24,6,0.29555883655164555
24,7,0.29532971815170234
24,8,0.2952197419632477
24,9,0.29516695367792783
24,10,0.29514161570364555
24,11,0.29512945267941165
24,12,0.29512361475731935
24,13,0.29512081242015886
24,14,0.29511946729833166
24,15,0.29511882163986813
24,16,0.29738949683879257
24,17,0.2965159838100827
24,18,0.29578914956555236
24,19,0.29544026912820814
24,20,0.2958051060356552
24,21,0.2957195172045252
24,22,0.2959873210277992
24,23,0.2958996463394862
24,24,0.29619603098110164
24,25,0.29610136766474127
25,0,0.4370959449500237
25,1,0.4370959449500166
25,2,0.43709594496500903
25,3,0.4370959449919102
25,4,0.4370959450242221
25,5,0.4370959450568822
25,6,0.4370959453150257
25,7,0.4367571067064945
25,8,0.43659446458305606
25,9,0.43651639671357867
25,10,0.4364789248121249
25,11,0.43646093725367796
25,12,0.43645230356660447
25,13,0.436448159260334
25,14,0.43644616999334296
25,15,0.4397328594267071
25,16,0.43846820457726576
25,17,0.4374157917455478
25,18,0.4369106335863652
25,19,0.4375002042829169
25,20,0.4373627709096485
25,21,0.43774954278436806
25,22,0.4376182753585999
25,23,0.4379643874786523
25,24,0.43784413695731106
25,25,0.43821827005187874
26,0,143.91630000000004
26,1,144.90630000000016
26,2,145.3898523794361
26,3,145.38043240341727
26,4,145.37591081489865
26,5,145.37374045238823
26,6,145.3726986783239
26,7,145.37219862671762
26,8,145.37195860189692
26,9,145.37184338990173
26,10,145.3708848271554
26,11,145.37042471703725
26,12,145.3702038641824
26,13,145.37009785481206
26,14,145.37070912237033
26,15,145.3703403787441
26,16,145.3706786811301
26,17,145.37113190602525
26,18,145.37076725900872
26,19,145.37071129454208
26,20,145.37076256975823
26,21,145.3708146558099
26,22,145.37086129417446
26,23,145.37090686678
26,24,145.37095450525138
26,25,145.37092805256142
27,0,47.99605527277984
27,1,47.99605527277893
27,2,47.996055272800305
27,3,47.99605527281986
27,4,47.996055272846235
27,5,47.996055272906716
27,6,47.996055272944915
27,7,47.996055273034045
27,8,47.996055273104986
27,9,47.996055273320515
27,10,47.99193503213929
27,11,47.98995731661899
27,12,47.98900801307901
27,13,48.043836121919
27,14,48.071493693303104
27,15,48.07240013564233
27,16,48.130002038814126
27,17,48.12362481758554
27,18,48.18346872881221
27,19,48.17976916102808
27,20,48.22228380936762
27,21,48.28865827851562
27,22,48.38846151435801
27,23,48.42272130809482
27,24,48.4611125109803
27,25,48.457045437844215
28,0,864.9234000000002
28,1,865.9134000000005
28,2,866.9045331639315
28,3,867.8968007888247
28,4,868.8902328664874
28,5,869.8848593887268
28,6,870.8807103473504
28,7,871.8778157341654
28,8,872.8762055409795
28,9,873.6617936697738
28,10,873.6614613117262
28,11,873.6613017798308
28,12,873.661225204489
28,13,873.6605880981558
28,14,873.6607834328994
28,15,873.6607749641839
28,16,873.6607161585532
28,17,873.6612123132692
28,18,873.6606074933214
28,19,873.66063373624
28,20,873.66073682607
28,21,873.6608142483744
28,22,873.660864306178
28,23,873.6608979069149
28,24,873.6609233564421
28,25,873.660897175575
29,0,0.16020136648524827
29,1,0.1602013664852465
29,2,0.1602013665019034
29,3,0.16020136651511238
29,4,0.16020136658960568
29,5,0.16020136673321875
29,6,0.15994305715244475
29,7,0.15981906869005338
29,8,0.15975955436351622
29,9,0.15973098793680232
29,10,0.15971727544445374
29,11,0.1597106938078902
29,12,0.15970753447433994
29,13,0.1597060179942394
29,14,0.15970529008379816
29,15,0.15970494068679442
29,16,0.15970477297624144
29,17,0.15970469247518498
29,18,0.15970465383470042
29,19,0.1608133457382897
29,20,0.1605316221132862
29,21,0.16010158006102782
29,22,0.15989515987596156
29,23,0.16075172173477742
29,24,0.16068789013758905
29,25,0.16083161181492717
30,0,83.70450000000001
30,1,84.5729607775911
30,2,84.56154652757529
30,3,84.55606768754055
30,4,84.55343784430548
30,5,84.55217551950052
30,6,84.55156960356736
30,7,84.55127876388795
30,8,84.55113916080641
30,9,84.55107215117884
30,10,84.55051463256972
30,11,84.55024702363806
30,12,84.5501185713526
30,13,84.55005691425393
30,14,84.55025806656634
30,15,84.5502428859836
30,16,84.55047740201844
30,17,84.55079513754286
30,18,84.55107963313971
30,19,84.55132024644973
30,20,84.55078590739427
30,21,84.55071604148051
30,22,84.55078880409056
30,23,84.55076798820562
30,24,84.55086933662649
30,25,84.55097996744466
31,0,3.2318427540716383
31,1,3.23184275407161
31,2,3.2318427540889756
31,3,3.2318427541130204
31,4,3.231842754144995
31,5,3.2318427541740986
31,6,3.2318427542283272
31,7,3.231842754435122
31,8,3.2306392575146967
31,9,3.2300615796126246
31,10,3.22978429530366
31,11,3.229651197586862
31,12,3.229587310227859
31,13,3.2359204528697516
31,14,3.2334671731277638
31,15,3.2314189785750282
31,16,3.230435845297309
31,17,3.245689092567047
31,18,3.2601925667464817
31,19,3.258703135742545
31,20,3.270414391390751
31,21,3.2830808849381725
31,22,3.281746619361971
31,23,3.3003944135450123
31,24,3.2994343883549924
31,25,3.3132853964717284
32,0,0.0001600000149058513
32,1,0.0001651000668948643
32,2,0.00016034814321073262
32,3,0.00015806717396030934
32,4,0.00015697235198130355
32,5,0.00015644681053326835
32,6,0.00015619455063822964
32,7,0.00015607346588863118
32,8,0.0001560153452088518
32,9,0.0001559874472825754
32,10,0.00015597405627798723
32,11,0.00015596762859580732
32,12,0.00020481348130705322
32,13,0.0002347596821463371
32,14,0.00023475968214635619
32,15,0.00022607586375332338
32,16,0.00022190723390675727
32,17,0.00021990629402973878
32,18,0.0002189458428887987
32,19,0.000276493023379074
32,20,0.0002764930233790983
32,21,0.00026850342873846824
32,22,0.0003141667805219452
32,23,0.0003141667805219747
32,24,0.00035724024536240063
32,25,0.0003572402453625776
33,0,0.0001600000149058513
33,1,0.0001651000668948643
33,2,0.00016034814321073262
33,3,0.00015806717396030934
33,4,0.00015697235198130355
33,5,0.00015644681053326835
33,6,0.00015619455063822964
33,7,0.00015607346588863118
33,8,0.0001560153452088518
33,9,0.0001559874472825754
33,10,0.00015597405627798723
33,11,0.00015596762859580732
33,12,0.00020481348130705322
33,13,0.0002347596821463371
33,14,0.00023475968214635619
33,15,0.00022607586375332338
