fromRegion,toFacility,timePeriod,quantity
18,36,22,8.496968595027766e-07
18,36,23,5.820423488411372e-07
18,36,24,3.986990090102999e-07
18,36,25,2.7310882121856213e-07
18,36,26,1.8707954255906132e-07
19,3,0,0.245275
19,3,1,0.00490549999999999
19,3,2,9.810999999999957e-05
19,3,3,1.962199999999987e-06
22,3,0,0.005275
22,31,1,0.0001055000000000006
22,31,2,2.110000000000024e-06
22,31,23,8.772209412243563e-07
22,31,24,6.008963447522422e-07
22,31,25,4.116139961662719e-07
22,31,26,2.819555873810155e-07
24,8,0,0.010875
24,8,1,0.00021749999999999938
24,8,2,0.00011309999999999966
24,8,3,2.2619999999999866e-06
25,6,0,0.013225
25,50,1,0.009059125000000001
25,50,2,0.0062055006250000015
25,50,3,0.004250767928314437
25,50,4,0.00291177603089539
25,50,5,0.0019945665811633424
25,50,6,0.0013662781099075556
25,50,7,0.0007104646171519291
25,50,8,0.0003694416009190031
25,50,9,0.0002530674966295172
25,50,10,0.00017335123519121928
25,50,11,0.00011874559610598523
25,50,12,8.13407333325999e-05
25,50,13,4.229718133295195e-05
25,50,14,2.8973569213072085e-05
25,50,15,1.9846894910954382e-05
25,50,16,1.0320385353696279e-05
25,50,17,7.069463967281952e-06
25,50,18,4.842582817588138e-06
25,50,19,3.317169230047875e-06
25,50,20,1.7249279996248952e-06
25,50,21,8.969625598049457e-07
25,50,22,4.664205310985718e-07
25,50,23,2.4253867617125737e-07
25,50,26,7.068918749448221e-07
26,9,0,0.363425
26,9,1,0.007268499999999989
26,9,2,0.00014536999999999957
26,9,3,2.9073999999999868e-06
27,8,0,0.138675
27,8,1,0.002773500000000002
27,8,2,5.547000000000008e-05
27,8,3,1.1094000000000025e-06
28,8,0,2.18415
28,8,1,0.04368300000000005
28,8,2,0.000873660000000002
28,8,3,1.747320000000006e-05
28,8,4,3.4946400000000165e-07
29,3,0,0.008
29,67,1,0.00016000000000000015
29,67,2,8.320000000000008e-05
29,67,3,1.664000000000003e-06
29,67,24,9.113109675236446e-07
29,67,25,6.24248012759521e-07
29,67,26,4.276098887438022e-07
30,5,0,0.211375
30,5,1,0.004227500000000006
30,5,2,8.455000000000024e-05
30,5,3,1.6910000000000078e-06
31,3,0,0.035975
31,3,1,0.0007195000000000018
31,3,2,0.000374140000000001
31,3,3,6.92159000000002e-05
31,3,4,3.599226800000011e-05
31,3,5,6.658569580000022e-06
31,3,7,6.405543935960025e-07
31,3,8,3.330882846699213e-07
31,3,10,3.2043092985246444e-08
31,36,6,3.462456181600012e-06
31,46,9,6.162133266393547e-08
31,46,11,5.927972202270594e-09
34,1,0,0.532625
34,1,1,0.01065249999999999
34,1,2,0.00021304999999999954
34,1,3,4.260999999999987e-06
35,6,0,1.048475
35,6,1,0.020969500000000068
35,6,2,0.0004193900000000028
35,6,3,8.387800000000083e-06
35,6,4,1.677560000000022e-07
36,7,1,0.009161500000000019
36,7,2,0.00018323000000000072
36,7,3,3.6646000000000225e-06
36,12,0,0.458075
39,2,0,0.00505
39,63,1,0.00010099999999999997
39,63,2,2.0199999999999993e-06
39,63,23,8.398034678390609e-07
39,63,24,5.752653754911931e-07
39,63,25,3.9405678222533416e-07
39,63,26,2.699288958332041e-07
40,8,0,0.438875
40,8,1,0.00877749999999999
40,8,2,0.0001755499999999996
40,8,3,3.510999999999987e-06
41,1,0,0.511025
41,1,1,0.010220500000000002
41,1,2,0.00020441000000000008
41,1,3,4.088200000000003e-06
42,5,0,0.220225
42,59,1,0.00440450000000002
42,59,2,8.80900000000008e-05
42,59,3,1.7618000000000244e-06
43,6,0,4.80445
43,44,1,0.09608900000000006
43,44,2,0.0019217800000000023
43,44,3,3.843560000000007e-05
43,44,4,7.687120000000018e-07
44,11,0,0.06325
44,44,1,0.0012650000000000005
44,44,2,2.5300000000000022e-05
44,44,3,5.060000000000005e-07
45,1,0,0.0357
45,1,1,0.0007140000000000013
45,1,2,0.0003712800000000007
45,1,3,6.868680000000015e-05
45,1,4,3.5717136000000084e-05
45,1,5,6.6076701600000165e-06
45,1,6,3.4359884832000087e-06
45,1,7,6.356578693920018e-07
45,1,8,3.30542092083841e-07
45,1,9,6.11502870355106e-08
45,15,10,3.1798149258465515e-08
45,15,11,5.882657612816122e-09
46,3,0,0.22995000000000002
46,67,1,0.004599000000000011
46,67,2,9.198000000000043e-05
46,67,3,1.8396000000000128e-06
47,5,0,0.03905
47,5,1,0.0007810000000000006
47,5,2,0.0004061200000000004
47,5,3,7.513220000000008e-05
47,5,4,3.906874400000004e-05
47,5,5,7.227717640000008e-06
47,5,6,3.758413172800004e-06
47,5,7,6.95306436968001e-07
47,5,8,4.762849093230807e-07
47,5,9,3.2625516288631027e-07
47,5,10,1.6965268470088134e-07
47,5,11,3.138574666966305e-08
48,5,0,2.6534
48,5,1,0.0530680000000001
48,5,2,0.0010613600000000042
48,5,3,2.1227200000000124e-05
48,5,4,4.245440000000033e-07
49,5,0,0.6465000000000001
49,59,1,0.012929999999999994
49,59,2,0.00025859999999999967
49,59,3,5.17199999999999e-06
50,42,0,2.09275
50,59,1,0.041854999999999906
50,59,2,0.0008370999999999962
50,59,3,1.6741999999999888e-05
50,59,4,3.3483999999999703e-07
51,9,0,0.7480249999999999
51,60,1,0.014960499999999969
51,60,2,0.00029920999999999876
51,60,3,5.984199999999963e-06
52,8,0,1.6791749999999999
52,8,1,0.033583500000000016
52,8,2,0.0006716700000000006
52,8,3,1.343340000000002e-05
52,8,4,2.686680000000005e-07
53,13,0,0.8584
53,13,1,0.017168000000000065
53,13,2,0.00034336000000000257
53,13,3,6.867200000000076e-06
53,13,4,1.3734400000000203e-07
54,1,0,0.042249999999999996
54,1,1,0.0008450000000000025
54,1,2,0.0004394000000000013
54,1,3,8.788000000000052e-06
54,1,4,4.569760000000027e-06
54,1,5,9.139520000000082e-08
54,1,6,4.7525504000000436e-08
55,16,0,0.147925
55,66,1,0.002958499999999997
55,66,2,5.916999999999989e-05
55,66,3,1.1833999999999964e-06
56,8,0,0.64895
56,56,1,0.012978999999999985
56,56,2,0.00025957999999999944
56,56,3,5.1915999999999835e-06
57,5,0,0.5007
57,5,1,0.010014000000000038
57,5,2,0.00020028000000000152
57,5,3,4.005600000000046e-06
58,2,0,0.15660000000000002
58,2,1,0.0031320000000000015
58,2,2,6.264000000000005e-05
58,2,3,1.2528000000000014e-06
59,5,0,0.46815
59,5,1,0.009363000000000028
59,5,2,0.0001872600000000011
59,5,3,3.745200000000033e-06
60,1,0,0.206675
60,1,1,0.004133500000000012
60,1,2,8.26700000000005e-05
60,1,3,1.6534000000000145e-06
62,12,0,0.0029749999999999998
62,12,26,1.5901767110223913e-07
62,19,26,1.5901767110223913e-07
62,36,26,1.5901767110223913e-07
62,39,26,1.5901767110223913e-07
62,62,1,5.949999999999938e-05
62,62,2,1.1899999999999899e-06
62,62,22,7.222426026586024e-07
62,62,23,4.947361829118347e-07
62,62,24,3.3889428535060405e-07
62,62,26,1.5901767110223913e-07
63,1,0,0.030275
63,1,1,0.000605500000000001
63,1,2,0.0003148600000000005
63,1,3,5.8249100000000106e-05
63,1,4,3.0289532000000057e-05
63,1,5,5.603563420000012e-06
63,1,6,3.838440942700008e-06
63,1,7,7.101115743995018e-07
63,1,8,3.692580186877409e-07
63,1,9,6.831273345723209e-08
64,5,0,0.852675
64,5,1,0.017053499999999958
64,5,2,0.00034106999999999833
64,5,3,6.82139999999995e-06
64,5,4,1.3642799999999863e-07
66,3,0,0.054325000000000005
66,3,1,0.0010864999999999991
66,3,2,2.1729999999999966e-05
66,3,3,4.3459999999999903e-07
67,3,0,0.020125
67,3,1,0.0004025000000000012
67,3,2,0.00020930000000000064
67,3,3,0.00014337050000000045
67,3,4,7.455266000000024e-05
67,3,5,5.1068572100000165e-05
67,3,7,2.3962650743622588e-05
67,3,8,1.6414415759381474e-05
67,3,10,4.4384580213367515e-06
67,36,6,3.498197188850012e-05
67,46,9,8.535496194878367e-06
67,46,11,3.040343744615675e-06
67,46,12,1.5809787472001512e-06
