region,timePeriod,S_proportion,I_proportion,R_proportion,X_proportion
1,0,0.0024175824175824176,2.442002442002442e-05,0.0,0.0001221001221001221
1,1,0.0024146520146520146,3.7118437118451843e-06,2.393162393162393e-05,0.00012180708180707756
1,2,9.401123321122891e-05,5.196581196583259e-07,2.756923076923221e-05,0.002442002442002442
1,3,9.394263833943401e-05,7.898803418806554e-08,2.807849572649737e-05,0.002442002442002442
1,4,9.394263833943401e-05,2.5276170940180986e-09,2.8155904000001674e-05,0.0024420014941460315
1,5,9.394136339261717e-05,0.0,2.8158381064753815e-05,0.002442002442002442
1,6,9.394112562906542e-05,2.615399069213165e-10,2.8158381064753815e-05,0.002442002442002442
1,7,9.394109424427658e-05,0.0,2.8158637373862595e-05,0.002442002442002442
1,8,9.394109497658835e-05,0.0,2.8158673257137825e-05,0.002442002442002442
1,9,9.394109497658835e-05,0.0,2.8158678280796357e-05,0.002442002442002442
1,10,9.39410898381033e-05,0.0,2.8158678381269528e-05,0.002442002442002442
1,11,9.39410898381033e-05,0.0,2.815867839533577e-05,0.002442002442002442
1,12,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,13,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,14,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,15,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,16,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,17,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,18,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,19,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,20,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,21,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,22,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,23,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,24,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,25,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
1,26,9.394108983804819e-05,0.0,2.8158678395785894e-05,0.002442002442002442
2,0,0.015456674473067917,0.000156128024980484,0.0,0.0007806401249024201
2,1,0.015437939110070258,2.3731459797042983e-05,0.0001530054644808743,0.000778766588602627
2,2,0.0006010554254488406,3.3224043715860177e-06,0.00017626229508197643,0.0156128024980484
2,3,0.0006006168680717912,5.050054644810747e-07,0.00017951825136613075,0.0156128024980484
2,4,0.0006006168680717912,1.61601748633944e-08,0.0001800131567213222,0.015612796437982825
2,5,0.0006006149288508076,0.0,0.00018002899369268835,0.015612796437982825
2,6,0.0006006071966448445,1.672140388513335e-09,0.00018002899369268835,0.0156128024980484
2,7,0.0006006069959879979,0.0,0.00018003063239026908,0.0156128024980484
2,8,0.0006006070006699912,0.0,0.00018003086180793038,0.0156128024980484
2,9,0.0006006070006699912,0.0,0.00018003089392640295,0.0156128024980484
2,10,0.0006006069678173818,0.0,0.0001800308945687724,0.0156128024980484
2,11,0.0006006069678173818,0.0,0.00018003089465870413,0.0156128024980484
2,12,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,13,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,14,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,15,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,16,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,17,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,18,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,19,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,20,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,21,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,22,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,23,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,24,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,25,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
2,26,0.0006006069678170294,0.0,0.00018003089466158196,0.0156128024980484
3,0,0.008467328087581253,8.552856654122477e-05,0.0,0.0004276428327061239
3,1,0.008457064659596305,1.300034211427132e-05,8.381799521040027e-05,0.00042661648990761426
3,2,0.0003292644543277304,1.8200478959979852e-06,9.655833048238616e-05,0.008552856654122476
3,3,0.00032902420800545864,2.766472801916938e-07,9.834197742046419e-05,0.008552856654122476
3,4,0.00032902420800545864,8.852712966134206e-09,9.861309175505206e-05,0.008552853334355114
3,5,0.0003290197426383573,0.0,9.862176741375887e-05,0.008552856654122476
3,6,0.00032901890989652996,9.160160099579122e-10,9.862176741375887e-05,0.008552856654122476
3,7,0.0003290187999746088,0.0,9.862266510944863e-05,0.008552856654122476
3,8,0.0003290188025394537,0.0,9.862279078684519e-05,0.008552856654122476
3,9,0.0003290188025394537,0.0,9.86228083816807e-05,0.008552856654122476
3,10,0.0003290187845424504,0.0,9.862280873357741e-05,0.008552856654122476
3,11,0.0003290187845424504,0.0,9.862280878284295e-05,0.008552856654122476
3,12,0.00032901878454225737,0.0,9.862280878441946e-05,0.008552856654122476
3,13,0.00032901878454225737,0.0,9.862280878441946e-05,0.008552856654122476
3,14,0.00032901878454225737,0.0,9.862280878441946e-05,0.008552856654122476
