region,timePeriod,S
6,0,1117.8387
6,1,894.2709600000001
6,2,738.2534222500002
6,3,629.1371218750003
6,4,552.7929023318752
6,5,499.37918185587523
6,6,462.0142343697712
6,7,435.8820129297055
6,8,417.611510301178
6,9,404.84310412214836
6,10,395.9251175597801
6,11,389.70142974868577
6,12,385.3628059105208
6,13,382.34282897006824
6,14,380.2450518699852
6,15,378.79200432038033
6,16,377.7894976350876
6,17,377.1016382248413
6,18,376.6333371436542
6,19,376.31806686750997
6,20,376.10929113086183
6,21,375.9744658990271
6,22,375.8908401313725
6,23,375.8425163939105
6,24,375.8183933625907
6,25,375.81072564632393
6,26,375.81411573031164
7,0,1.3959
7,1,1.11672
7,2,0.9218932500000001
7,3,0.7855392000000002
7,4,0.6901806356250002
7,5,0.6235062388125003
7,6,0.5768675804671881
7,7,0.5442502203281259
7,8,0.5214459767358641
7,9,0.5055094732267422
7,10,0.49437905800223714
7,11,0.48661164600790663
7,12,0.4811971423415602
7,13,0.47742854026831516
7,14,0.4748109917855827
7,15,0.4729981571677815
7,16,0.47174764978942774
7,17,0.47088984763597974
7,18,0.47030606148939835
7,19,0.4699132527795795
7,20,0.46965333619585736
7,21,0.46948569162474385
7,22,0.46938192261058204
7,23,0.4693221873770055
7,24,0.46929263063602233
7,25,0.46928358594372827
7,26,0.46928831743419686
8,0,109.53359999999999
8,1,87.62688
8,2,72.33919800000001
8,3,61.64722500000002
8,4,54.16648810500001
8,5,48.93264077700002
8,6,45.27136369653752
8,7,42.710747133228665
8,8,40.920476384227015
8,9,39.669339261267
8,10,38.79549299621297
8,11,38.185652837560895
8,12,37.76052433891971
8,13,37.46460602223948
8,14,37.25905125131351
8,15,37.116671559878114
8,16,37.018438991675396
8,17,36.951037748945396
8,18,36.90515035629579
8,19,36.87425798483923
8,20,36.85380068804822
8,21,36.84058957536132
8,22,36.832395341794225
8,23,36.82766024634515
8,24,36.82529650417632
8,25,36.824545168071424
8,26,36.8248773520406
9,0,59.6376
9,1,47.710080000000005
9,2,39.386418
9,3,33.564975000000004
9,4,29.491949055000006
9,5,26.642283807000013
9,6,24.64883359616252
9,7,23.25465841744122
9,8,22.2799123046442
9,9,21.598707493661635
9,10,21.122925691216636
9,11,20.790886905138194
9,12,20.559417808819006
9,13,20.3982995926344
9,14,20.286381484982172
9,15,20.208860221118726
9,16,20.155375677332728
9,17,20.118677820555007
9,18,20.093693578489535
9,19,20.076873653838618
9,20,20.065735299138208
9,21,20.05854226377531
9,22,20.054080761302412
9,23,20.051502650738342
9,24,20.05021566745221
9,25,20.04980658855514
9,26,20.04998745226026
10,0,127.8585
10,1,102.28680000000001
10,2,84.44149875000002
10,3,71.96076562500002
10,4,63.228506315625026
10,5,57.11903973562505
10,6,52.845233382211006
10,7,49.85622733420547
10,8,47.766445453931
10,9,46.30599390448879
10,10,45.285953727954734
10,11,44.5740877076193
10,12,44.07783548781157
10,13,43.73241022932234
10,14,43.49246627898714
10,15,43.3262665578294
10,16,43.21159974489217
10,17,43.132922318115334
10,18,43.07935799453719
10,19,43.04329734943951
10,20,43.01941756020808
10,21,43.00399623696603
10,22,42.994431113455526
10,23,42.988903839619184
10,24,42.98614464492378
10,25,42.985267610777484
10,26,42.985655368908525
11,0,195.8913
11,1,156.71304000000003
11,2,129.37235275000003
11,3,110.25069062500006
11,4,96.87204448062505
11,5,87.51176455662505
11,6,80.96388950319852
11,7,76.38444988477909
11,8,73.18270663545735
11,9,70.9451569019061
11,10,69.38235899458306
11,11,68.2917130041468
11,12,67.53140772612926
11,13,67.00218360020176
11,14,66.63456680245656
11,15,66.37993312991944
11,16,66.20425274073352
11,17,66.0837114908137
11,18,66.0016458872549
11,19,65.94639757257937
11,20,65.90981147973153
11,21,65.88618455579171
11,22,65.87152988303484
11,23,65.86306157740592
11,24,65.85883423050171
11,25,65.85749053135287
11,26,65.85808461344858
12,0,23.660999999999998
12,1,18.9288
12,2,15.6264175
12,3,13.316781250000002
12,4,11.700823081250002
12,5,10.570228801249996
12,6,9.77933471029688
12,7,9.226200799748426
12,8,8.839473839325976
12,9,8.569208318368425
12,10,8.380443624453115
12,11,8.248708448977169
12,12,8.15687393062339
12,13,8.092950866958745
12,14,8.048547766617396
12,15,8.017791488391126
12,16,7.9965716910447995
12,17,7.982011950443805
12,18,7.9720995436875
12,19,7.9654263000392405
12,20,7.961007198512554
12,21,7.958153388019596
12,22,7.956383303221524
12,23,7.955360447282473
12,24,7.954849841373754
12,25,7.954687540823858
12,26,7.95475929784582
13,0,12.1077
13,1,9.686160000000001
13,2,7.996279750000001
13,3,6.814403125000002
13,4,5.987492313125003
13,5,5.408949717125001
13,6,5.004236966817192
13,7,4.721189781628588
13,8,4.523295608994008
13,9,4.384996557893125
13,10,4.288402741718052
13,11,4.220991813082684
13,12,4.173998668343938
13,13,4.1412882470675
13,14,4.118566493212665
13,15,4.102828029501005
13,16,4.091969530690246
13,17,4.084519086020727
13,18,4.079446754025189
13,19,4.076031951937772
13,20,4.07377062927058
13,21,4.072310290257839
13,22,4.071404510460493
13,23,4.070881099238335
13,24,4.070619814287052
13,25,4.070536762580134
13,26,4.070573481756331
14,0,0.099
14,1,0.0792
14,2,0.06538250000000001
14,3,0.05571875000000001
14,4,0.04895741875000001
14,5,0.04422697468750003
14,6,0.04091777920312503
14,7,0.03860339751796871
14,8,0.03698528273457033
14,9,0.03585445716259178
14,10,0.0350646412997872
14,11,0.034513444131525295
14,12,0.03412919635265832
14,13,0.03386173363442191
14,14,0.03367594492227827
14,15,0.033547256254868596
14,16,0.03345846944721817
14,17,0.03339754917842236
14,18,0.0333560739619968
14,19,0.03332815183364379
14,20,0.03330966134078445
14,21,0.033297720242921214
14,22,0.03329031360919832
14,23,0.03328603349363457
14,24,0.03328389671438023
14,25,0.033283217305460376
14,26,0.03328351723894677
15,0,813.8394
15,1,651.07152
15,2,537.4833794999998
15,3,458.04155625000004
15,4,402.45935657625006
15,5,363.57164386424984
15,6,336.3681963157592
15,7,317.3427041607192
15,8,304.0409148266235
15,9,294.74491172376247
15,10,288.25219606351084
15,11,283.72105722034166
15,12,280.5623340331058
15,13,278.36364810352507
15,14,276.83636723870495
15,15,275.77847995501907
15,16,275.0486077120429
15,17,274.54781355478235
15,18,274.2068682368827
15,19,273.9773365769256
15,20,273.8253379744009
15,21,273.7271788341054
15,22,273.6662953232977
15,23,273.63111335876056
15,24,273.61355065196244
15,25,273.60796819216216
15,26,273.61043633351255
16,0,281.26890000000003
16,1,225.01512000000002
16,2,185.75822075000002
16,3,158.30254062500003
16,4,139.09292241062502
16,5,125.65304203862502
16,6,116.25132989717338
16,7,109.67597946512637
16,8,105.07878294941008
16,9,101.86601570425307
16,10,99.6220852779652
16,11,98.0560902694101
16,12,96.96441223566296
16,13,96.20453015946475
16,14,95.67669062640095
16,15,95.3110769775177
16,16,95.05882774634767
16,17,94.88574959142431
16,18,94.76791637452871
16,19,94.68858853967492
16,20,94.63605670140261
16,21,94.60213217843022
16,22,94.58109038797713
16,23,94.568931241506
16,24,94.56286144048033
16,25,94.56093210119101
16,26,94.56178510904574
17,0,19.6911
17,1,15.752879999999998
17,2,13.004579249999999
17,3,11.082459375
17,4,9.737630589375
17,5,8.796730161375002
17,6,8.138534200326568
17,7,7.678206439623267
17,8,7.356365467121073
17,9,7.1314457511442555
17,10,6.974352455664118
17,11,6.864720127736277
17,12,6.788293827748241
17,13,6.735095930839968
17,14,6.698142890433367
17,15,6.6725469752064726
17,16,6.6548874869524965
17,17,6.642770614959296
17,18,6.634521335859448
17,19,6.628967745220123
17,20,6.625290091266711
17,21,6.622915100018652
17,22,6.621442004338448
17,23,6.620590765646014
17,24,6.6201658304308655
17,25,6.620030761056328
17,26,6.620090478506415
18,0,1.386
18,1,1.1088
18,2,0.915355
18,3,0.7800625000000001
18,4,0.6854038625000001
18,5,0.6191765825000002
18,6,0.5728480583437507
18,7,0.5404469087718748
18,8,0.5177934466550775
18,9,0.501961993903397
18,10,0.49090464791497945
18,11,0.48318794311395585
18,12,0.4778085152745679
18,13,0.47406406803225476
18,14,0.4714630495956338
18,15,0.4696614265913457
18,16,0.4684184258946238
18,17,0.467565554042884
18,18,0.46698491095083433
18,19,0.46659400963035846
18,20,0.4663351501077866
18,21,0.4661679812736583
18,22,0.46606429427985996
18,23,0.46600437801478556
18,24,0.46597446802828885
18,25,0.4659649608668446
18,26,0.4659691641914815
19,0,97.1289
19,1,77.70312000000001
19,2,64.14677075000002
19,3,54.66566562500003
19,4,48.03212353562503
19,5,43.39101036362504
19,6,40.144373574361
19,7,37.873747299720435
19,8,36.28622503666409
19,9,35.17677941904287
19,10,34.40189640146838
19,11,33.86112075102227
19,12,33.484138131701116
19,13,33.221732617877024
19,14,33.039456961915846
19,15,32.91320179627297
19,16,32.82609408417636
19,17,32.76632604436941
19,18,32.72563540723228
19,19,32.698241602427515
19,20,32.68010109819605
19,21,32.66838614640909
19,22,32.66111991127469
19,23,32.65692106624107
19,24,32.654825018300244
19,25,32.65415877114505
19,26,32.654453335219664
20,0,0.099
20,1,0.0792
20,2,0.06538250000000001
20,3,0.05571875000000001
20,4,0.048957418750000016
20,5,0.044226746875
20,6,0.040917596953125024
20,7,0.03860324716171876
20,8,0.03698515470394534
20,9,0.03585434475990429
20,10,0.03506453983665597
20,11,0.034513350326083436
20,12,0.03412910790759896
20,13,0.033861648941630296
20,14,0.033675862856074185
20,15,0.033547176027275694
20,16,0.03345839050665314
20,17,0.033397471138776835
20,18,0.0333559965529949
20,19,0.03332807486609246
20,20,0.033309584682248566
20,21,0.03329764380069605
20,22,0.033290237318390675
20,23,0.03328595730881917
20,24,0.033283820603759395
20,25,0.03328314124677578
20,26,0.03328344121661754
21,0,0.099
21,1,0.0792
21,2,0.06538250000000001
21,3,0.05571875000000001
21,4,0.04895792500000001
21,5,0.04422730375
21,6,0.0409180310625
21,7,0.038603594259374985
21,8,0.036985439871406234
21,9,0.03585458560533589
21,10,0.035064748734319084
21,11,0.03451353598407808
21,12,0.03412927646540673
21,13,0.03386180473850914
21,14,0.03367600896904463
21,15,0.03354731464781496
21,16,0.03345852320448012
21,17,0.03339759904659517
21,18,0.03335612049590281
21,19,0.033328195452253795
21,20,0.0333097023664434
21,21,0.03329775892888276
21,22,0.033290350158971777
21,23,0.03328606807459639
21,24,0.0332839294673678
21,25,0.03328324835155028
21,26,0.033283546684258376
22,0,2.0888999999999998
22,1,1.67112
22,2,1.37957075
22,3,1.175665625
22,4,1.033001535625
22,5,0.9331875636250002
22,6,0.8633638593609385
22,7,0.8145306982204676
22,8,0.7803886946015819
22,9,0.7565284336686924
22,10,0.7398634336432908
22,11,0.7282332571217482
22,12,0.7201256908780982
22,13,0.7144822739628971
22,14,0.7105621676048468
22,15,0.7078468643626694
22,16,0.7059734847411825
22,17,0.7046880850217745
22,18,0.7038129729330427
22,19,0.7032238288000396
22,20,0.7028336905195922
22,21,0.7025817432052994
22,22,0.7024254720932172
22,23,0.702335169722283
22,24,0.7022900910997778
22,25,0.7022757624493154
22,26,0.7022820974600181
23,0,0.099
23,1,0.0792
23,2,0.06538250000000001
23,3,0.05571875000000001
23,4,0.04895792500000001
23,5,0.04422730375
23,6,0.0409180310625
23,7,0.038603594259374985
23,8,0.036985439871406234
23,9,0.03585458560533589
23,10,0.035064748734319084
23,11,0.03451353598407808
23,12,0.03412927646540673
23,13,0.03386180473850914
23,14,0.03367600896904463
23,15,0.03354731464781496
23,16,0.03345852320448012
23,17,0.03339759904659517
23,18,0.03335612049590281
23,19,0.033328195452253795
23,20,0.0333097023664434
23,21,0.03329775892888276
23,22,0.033290350158971777
23,23,0.03328606807459639
23,24,0.0332839294673678
23,25,0.03328324835155028
23,26,0.033283546684258376
24,0,4.3065
24,1,3.432149999999998
24,2,2.8278262499999975
24,3,2.408366624999998
24,4,2.1163321481249984
24,5,1.9128001802812467
24,6,1.7710659557859376
24,7,1.6720288150535154
24,8,1.602843500424715
24,9,1.5545433361177974
24,10,1.5208556851760786
24,11,1.4973905782768107
24,12,1.4810754259528398
24,13,1.4697597187801232
24,14,1.4619383777285684
24,15,1.4565581102633516
24,16,1.4528818607450376
24,17,1.4503939269041783
24,18,1.4487335419964482
24,19,1.447648382902857
24,20,1.4469620263620793
24,21,1.4465511688670283
24,22,1.4463296810998154
24,23,1.4462374465181185
24,24,1.446232548823522
24,25,1.4462858036242614
24,26,1.4463769310123893
25,0,5.2371
25,1,4.18968
25,2,3.45873425
25,3,2.947521875
25,4,2.5898474518750003
25,5,2.3396029438750006
25,6,2.164547306170313
25,7,2.0421172481451517
25,8,1.9565195234323998
25,9,1.8966992470363522
25,10,1.8549182752392195
25,11,1.8257601548655344
25,12,1.8054336024940554
25,13,1.7912849411296037
25,14,1.7814568072053039
25,15,1.774649246037562
25,16,1.7699524791704508
25,17,1.7667298420162645
25,18,1.7645358406784877
25,19,1.763058792178688
25,20,1.762080673043641
25,21,1.761449013723178
25,22,1.7610572250692247
25,23,1.7608308272383049
25,24,1.7607178102721706
25,25,1.7606818868356087
25,26,1.7606977694477608
26,0,143.9163
26,1,115.13304000000001
26,2,95.04654025000002
26,3,80.99834687500002
26,4,71.16939963687503
26,5,64.29264271287508
26,6,59.48208731530781
26,7,56.11769080583383
26,8,53.76545238589199
26,9,52.121582143983915
26,10,50.97343471492661
26,11,50.1721651572326
26,12,49.61358842325342
26,13,49.22478106880834
26,14,48.95470246207026
26,15,48.76762965165847
26,16,48.638561787959645
26,17,48.550003231780465
26,18,48.4897117434447
26,19,48.449122227549594
26,20,48.42224336606627
26,21,48.40488527268877
26,22,48.39411886150243
26,23,48.38789741514091
26,24,48.38479169208345
26,25,48.38380451086899
26,26,48.38424096769834
27,0,54.915299999999995
27,1,43.93224
27,2,36.26767275
27,3,30.907190625000013
27,4,27.156680180625013
27,5,24.532660736625047
27,6,22.697058425948484
27,7,21.413278592554235
27,8,20.515716061398024
27,9,19.888451272799017
27,10,19.450343427818538
27,11,19.144596557569997
27,12,18.931455940491176
27,13,18.78309559102641
27,14,18.68003952476687
27,15,18.608656647832873
27,16,18.55940718495424
27,17,18.52561518436562
27,18,18.502609276208705
27,19,18.487121208141218
27,20,18.476864824754227
27,21,18.470241357430496
27,22,18.46613313129886
27,23,18.463759163951806
27,24,18.46257408820672
27,25,18.46219740151315
27,26,18.46236394383923
28,0,864.9234
28,1,691.9387200000001
28,2,571.2207495
28,3,486.79243125000016
28,4,427.7213846512502
28,5,386.3927236192503
28,6,357.4817390375722
28,7,337.2620330840259
28,8,323.12530186048275
28,9,313.24579662869246
28,10,306.34553878408815
28,11,301.5299842482591
28,12,298.1729907200988
28,13,295.8362951635245
28,14,294.2131481908468
28,15,293.08885823115315
28,16,292.3131725344906
28,17,291.78094395819244
28,18,291.4185977955807
28,19,291.17465863050984
28,20,291.0131192062809
28,21,290.9087987010744
28,22,290.8440935845954
28,23,290.8067032783679
28,24,290.7880381755514
28,25,290.78210530954516
28,26,290.78472837400784
29,0,3.168
29,1,2.5344
29,2,2.0922400000000003
29,3,1.7830000000000004
29,4,1.5666050000000005
29,5,1.41523484
29,6,1.3093447964999996
29,7,1.2352898779499988
29,8,1.1835141319637499
29,9,1.1473305673562475
29,10,1.1220585411498387
29,11,1.10442176618659
29,12,1.092126984343233
29,13,1.0835690496522528
29,14,1.0776244873379657
29,15,1.0735069860888942
29,16,1.070666242966932
29,17,1.0687171551463184
29,18,1.067390254418419
29,19,1.0664970116180879
29,20,1.0659055499815966
