region,timePeriod,R
1,0,0.0
1,1,3.4807499999999996
1,2,3.8288249999999993
1,3,3.7157006249999993
1,4,3.541663124999999
1,5,3.366342098437499
1,6,3.198289312968749
1,7,3.03841449523828
1,8,2.8864997176640617
1,9,2.742175623859013
1,10,2.605066976477785
1,11,2.474813647725654
1,12,2.3510729683501355
1,13,2.2335193199326286
1,14,2.121843353935997
1,15,2.0157511862391972
1,16,1.9149636269272374
1,17,1.8192154455808756
1,18,1.7282546733018318
1,19,1.64184193963674
1,20,1.5597498426549032
1,21,1.481762350522158
1,22,1.40767423299605
1,23,1.3372905213462476
1,24,1.2704259952789352
1,25,1.2069046955149885
1,26,1.146559460739239
2,0,0.0
2,1,0.5444249999999999
2,2,0.5988675
2,3,0.5811736875
2,4,0.5539524374999999
2,5,0.5265304307812498
2,6,0.5002452515156248
2,7,0.4752391902808592
2,8,0.4514781609679686
2,9,0.42890439244974304
2,10,0.4074591937567818
2,11,0.3870862340689427
2,12,0.36773192236549557
2,13,0.34934532624722076
2,14,0.33187805993485975
2,15,0.31528415693811673
2,16,0.29951994909121094
2,17,0.28454395163665036
2,18,0.27031675405481786
2,19,0.25680091635207697
2,20,0.2439608705344731
2,21,0.23176282700774944
2,22,0.22017468565736198
2,23,0.20916595137449387
2,24,0.19870765380576919
2,25,0.18877227111548073
2,26,0.17933365755970668
3,0,0.0
3,1,0.99382
3,2,1.093202
3,3,1.0609028500000002
3,4,1.01121185
3,5,0.961154378875
3,6,0.9131721281375
3,7,0.8675248419615625
3,8,0.8241502978981251
3,9,0.7829430377084149
3,10,0.7437959240287736
3,11,0.7066061335582018
3,12,0.6712758268802916
3,13,0.637712035536277
3,14,0.6058264337594632
3,15,0.57553511207149
3,16,0.5467583564679155
3,17,0.5194204386445197
3,18,0.4934494167122937
3,19,0.468776945876679
3,20,0.44533809858284507
3,21,0.42307119365370277
3,22,0.40191763397101765
3,23,0.38182175227246673
3,24,0.3627306646588434
3,25,0.34459413142590123
3,26,0.32736442485460615
4,0,0.0
4,1,0.015725000000000003
4,2,0.017297500000000004
4,3,0.0167864375
4,4,0.01610633125
4,5,0.015372661718750001
4,6,0.014614775687500001
4,7,0.013885648961328125
4,8,0.013191608321992187
4,9,0.012532064177202148
4,10,0.01190546096834204
4,11,0.011310187919924938
4,12,0.010744678523928691
4,13,0.010207444597732256
4,14,0.009697072367845644
4,15,0.009212218749453362
4,16,0.008751607811980693
4,17,0.008314027421381657
4,18,0.007898326050312574
4,19,0.007503409747796945
4,20,0.0071282392604070976
4,21,0.006771827297386742
4,22,0.006433235932517405
4,23,0.006111574135891535
4,24,0.005805995429096958
4,25,0.00551569565764211
4,26,0.005239910874760004
5,0,0.0
5,1,2.9206000000000003
5,2,3.21266
5,3,3.1177405000000005
5,4,2.9717105
5,5,2.82460352875
5,6,2.683595135375
5,7,2.549448646065625
5,8,2.4219812038812503
5,9,2.3008828922050237
5,10,2.185838859872448
5,11,2.0765469337204765
5,12,1.9727195895607006
5,13,1.8740836100826654
5,14,1.7803794295785322
5,15,1.6913604580996056
5,16,1.6067924351946252
5,17,1.5264528134348938
5,18,1.4501301727631493
5,19,1.3776236641249917
5,20,1.3087424809187422
5,21,1.243305356872805
5,22,1.1811400890291648
5,23,1.1220830845777066
5,24,1.0659789303488212
5,25,1.01267998383138
5,26,0.962045984639811
6,0,0.0
6,1,9.597605000000001
6,2,10.557365500000001
6,3,10.245443337500001
6,4,9.7655630875
6,5,9.282143720656249
6,6,8.818765352753124
6,7,8.37793640783492
6,8,7.9590559858510925
6,9,7.561105646319725
6,10,7.183050732967917
6,11,6.823898251664148
6,12,6.4827033473826345
6,13,6.158568181258756
6,14,5.8506397721958185
6,15,5.558107783586028
6,16,5.280202394406726
6,17,5.016192274686389
6,18,4.76538266095207
6,19,4.527113527904466
6,20,4.300757851509243
6,21,4.0857199589337805
6,22,3.881433960987091
6,23,3.6873622629377363
6,24,3.5029941497908497
6,25,3.327844442301307
6,26,3.1614522201862414
7,0,0.0
7,1,0.011984999999999999
7,2,0.013183499999999999
7,3,0.012793987499999998
7,4,0.012275636249999996
7,5,0.011716461093749995
7,6,0.011138829037499996
7,7,0.01058311623539062
7,8,0.010054144721085933
7,9,0.009551465129651363
7,10,0.009073891873168793
7,11,0.008620197279510354
7,12,0.008189187415534836
7,13,0.0077797280447580944
7,14,0.007390741642520189
7,15,0.0070212045603941795
7,16,0.00667014433237447
7,17,0.006336637115755746
7,18,0.006019805259967959
7,19,0.005718814996969561
7,20,0.005432874247121083
7,21,0.005161230534765028
7,22,0.004903169008026777
7,23,0.004658010557625438
7,24,0.004425110029744166
7,25,0.004203854528256957
7,26,0.003993661801844109
8,0,0.0
