region,timePeriod,hospitalized
1,0,167.69025
1,1,25.153537500000006
1,2,3.7730306250000014
1,3,0.5659545937500003
1,4,0.08489318906250005
1,5,0.012733978359373382
1,6,0.0019100967539060075
1,7,0.00028651451308590116
1,8,4.2977176962885174e-05
1,9,6.446576544432779e-06
1,10,9.66986481664917e-07
1,11,1.4504797224973757e-07
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
2,0,4.1024025
2,1,0.6153603750000001
2,2,0.09230405625000003
2,3,0.013845608437500009
2,4,0.0020768412656249112
2,5,0.00031152618984373666
2,6,4.672892847656051e-05
2,7,7.0093392714840774e-06
2,8,1.0514008907226117e-06
2,9,1.5771013360839177e-07
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
3,0,13.6702864
3,1,2.0505429599999996
3,2,0.30758144399999987
3,3,0.04613721659999997
3,4,0.006920582489999622
3,5,0.0010380873734999433
3,6,0.00015571310602499144
3,7,2.3356965903748713e-05
3,8,3.5035448855623054e-06
3,9,5.255317328343458e-07
3,10,7.882975992515186e-08
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
4,0,0.003422500000000001
4,1,0.0005133750000000003
4,2,7.700624999999976e-05
4,3,1.1550937499999969e-05
4,4,1.7326406249999954e-06
4,5,2.5989609374999935e-07
4,6,3.89844140624999e-08
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
5,0,118.06096000000004
5,1,17.70914400000001
5,2,2.6563716000000026
5,3,0.3984557400000005
5,4,0.059768361000000096
5,5,0.008965254149998712
5,6,0.0013447881224998071
5,7,0.00020171821837497116
5,8,3.0257732756245683e-05
5,9,4.538659913436854e-06
5,10,6.807989870155284e-07
5,11,1.021198480523293e-07
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
5,25,0.0
5,26,0.0
6,0,1274.9345569000002
6,1,191.24018353500006
6,2,28.68602753025001
6,3,4.3029041295375015
6,4,0.6454356194306251
6,5,0.0968153429145842
6,6,0.01452230143718763
6,7,0.0021783452155781442
6,8,0.0003267517823367216
6,9,4.901276735050823e-05
6,10,7.351915102576236e-06
6,11,1.1027872653864352e-06
6,12,1.6541808980796528e-07
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
6,24,0.0
6,25,0.0
6,26,0.0
7,0,0.0019880999999999996
7,1,0.000298215
7,2,4.4732249999999846e-05
7,3,6.709837499999979e-06
7,4,1.006475624999997e-06
7,5,1.5097134374999956e-07
7,6,0.0
7,7,0.0
7,8,0.0
7,9,0.0
