region,timePeriod,S
3,70,527.0058502187685
3,71,555.4759163454477
3,72,524.1212809730539
3,73,516.5392608129492
3,74,823.8099831573162
3,75,878.1190258715236
3,76,899.8448823879637
3,77,895.5898145591686
3,78,914.820627750161
3,79,909.4742127776237
3,80,884.9468637830497
3,81,845.0751271625065
3,82,792.6977121463738
3,83,990.7485007265682
3,84,1010.7069113985694
3,85,1145.6241482396076
3,86,1138.3877547995467
3,87,1118.664013127369
3,88,1088.7249843664417
3,89,1050.6111629831962
3,90,1005.8137055367059
3,91,955.3896066108406
3,92,763.9546719919738
3,93,593.6448803220923
3,94,437.3302979395402
3,95,574.2438821594768
3,96,532.001255786566
3,97,478.098888973766
3,98,413.7469564259503
3,99,651.3227418794346
3,100,616.3235816499672
3,101,801.5420661004919
3,102,826.7784773370307
3,103,832.2447859393543
3,104,821.9266059016653
3,105,939.8883502641447
3,106,1024.340143887499
3,107,998.0554623941672
3,108,966.4113241884279
3,109,930.0637781235299
3,110,889.786316886176
3,111,846.1109644500679
3,112,929.362174449275
3,113,831.0729268288352
3,114,741.5613681287292
3,115,657.4022199769502
3,116,576.492422944096
3,117,497.1904026151997
3,118,418.15223460430036
3,119,338.29763018173156
3,120,487.57428764898947
3,121,441.20062518050844
3,122,388.60294883158923
3,123,329.7943956723956
3,124,518.1334759956467
3,125,580.2804337429903
3,126,597.1063668048863
3,127,526.9955585541505
3,128,457.39813697733
3,129,387.07231852725175
3,130,315.2492625231241
3,131,493.1264049984682
3,132,505.0494540902713
3,133,501.643053543097
3,134,626.6805823755337
3,135,632.1684740892314
3,136,626.0097164244453
3,137,610.3742195890704
3,138,587.1918414216165
3,139,557.858492571049
3,140,523.3897715167229
3,141,623.6081823857565
3,142,615.3609609633529
3,143,599.5088006733877
3,144,577.2801418107184
3,145,653.609194198137
3,146,658.3470460962305
3,147,654.3822178155492
3,148,612.1996877641946
3,149,570.4219853571144
3,150,528.4325181051288
3,151,485.85787251351775
3,152,442.35121523887585
3,153,531.4778545899469
3,154,596.566131631338
3,155,642.7823179957525
4,1,18042.4737981064
4,2,13637.965765018815
4,3,10382.94075887116
4,4,7931.271565666138
4,5,6084.263520215076
