region,timePeriod,u
30,35,0.0
30,42,0.0
30,49,0.0
30,56,0.0
30,63,0.0
31,0,0.0
31,7,0.0009404800300619353
31,14,3.3114687026524967e-05
31,21,3.5087905843494103e-06
31,28,4.20496519823925e-06
31,35,5.7530382664593065e-06
31,42,7.143445726256946e-06
31,49,8.364546915236467e-06
31,56,9.439939173877047e-06
31,63,0.0
32,0,0.0
32,7,0.004248487534956221
32,14,0.004218837191900905
32,21,0.004189393779626897
32,28,0.00416015585395664
32,35,0.0041311219807919405
32,42,0.004102290736043226
32,49,0.004073660705559696
32,56,0.004045230485059959
32,63,0.0
33,0,0.0
33,7,0.0
33,14,0.0
33,21,0.0
33,28,0.0
33,35,0.0
33,42,0.0
33,49,0.0
33,56,0.0
33,63,0.0
34,0,0.0
34,7,0.0
34,14,0.0
34,21,0.0
34,28,0.0
34,35,0.0
34,42,0.0
34,49,0.0
34,56,0.0
34,63,0.0
35,0,0.0
35,7,0.0
35,14,0.0
35,21,0.0
35,28,0.0
35,35,0.0
35,42,0.0
35,49,0.0
35,56,0.0
35,63,0.0
36,0,0.0
36,7,0.001640205657583946
36,14,0.0002424325256308455
36,21,3.7156214932749734e-05
36,28,8.99467713105115e-06
36,35,6.370175028225854e-06
36,42,7.341788050844002e-06
36,49,8.67488175290478e-06
36,56,9.912436733346738e-06
36,63,0.0
37,0,0.0
37,7,0.00275191378579413
37,14,0.0012268140772444985
37,21,0.0005472817414107734
37,28,0.0002459493061532446
37,35,0.00011285969268084293
37,42,5.4683130379271694e-05
37,49,2.9803494254643925e-05
37,56,1.9653498021526084e-05
37,63,0.0
38,0,0.0
38,7,0.0
38,14,0.0
38,21,0.0
38,28,0.0
38,35,0.0
38,42,0.0
38,49,0.0
38,56,0.0
38,63,0.0
39,0,0.0
39,7,0.0
39,14,0.0
39,21,0.0
39,28,0.0
39,35,0.0
39,42,0.0
39,49,0.0
39,56,0.0
39,63,0.0
40,0,0.0
40,7,0.0
40,14,0.0
40,21,0.0
40,28,0.0
40,35,0.0
40,42,0.0
40,49,0.0
40,56,0.0
40,63,0.0
41,0,0.0
41,7,0.0
41,14,0.0
41,21,0.0
41,28,0.0
41,35,0.0
41,42,0.0
41,49,0.0
41,56,0.0
41,63,0.0
42,0,0.0
42,7,0.0
42,14,0.0
42,21,0.0
42,28,0.0
42,35,0.0
42,42,0.0
42,49,0.0
42,56,0.0
42,63,0.0
43,0,5.6203930398623925e-12
43,7,0.0
43,14,0.0
43,21,0.0
43,28,0.0
43,35,0.0
43,42,0.0
43,49,0.0
43,56,0.0
43,63,0.0
44,0,0.0
44,7,0.0
44,14,0.0
44,21,2.7755575615628914e-17
44,28,0.0
44,35,0.0
44,42,0.0
44,49,0.0
44,56,0.0
44,63,0.0
45,0,0.0
45,7,0.0
45,14,5.551115123125783e-17
45,21,0.0
45,28,0.0
45,35,0.0
45,42,0.0
45,49,0.0
45,56,0.0
45,63,0.0
46,0,0.0
46,7,0.0
46,14,0.0
46,21,0.0
46,28,0.0
46,35,0.0
46,42,0.0
46,49,0.0
46,56,0.0
46,63,0.0
47,0,0.0
47,7,0.0
47,14,0.0
47,21,0.0
