fromRegion,toFacility,decisionPeriod,quantity
3,3,30,5000000.0
3,3,40,5000000.0
3,3,50,5000000.0
3,3,60,5000000.0
3,3,70,5000000.0
3,3,80,5000000.0
3,3,90,5000000.0
3,3,100,5000000.0
3,3,110,5000000.0
3,3,120,5000000.0
3,3,130,5000000.0
3,3,140,5000000.0
3,3,150,5000000.0
3,7,10,5000000.0
3,7,30,5000000.0
3,7,40,5000000.0
3,7,50,5000000.0
3,7,70,5000000.0
3,7,100,5000000.0
3,7,110,25.857724971878664
3,7,130,193.5302371687283
3,7,140,5000000.0
3,7,150,5000000.0
3,18,10,5000000.0
3,18,30,5000000.0
3,18,40,5000000.0
3,18,50,5000000.0
3,18,80,5000000.0
3,18,100,5000000.0
3,18,110,4.8681584769407635
3,18,130,5000000.0
3,18,140,5000000.0
3,22,20,85.358227408582
3,22,30,5000000.0
3,22,60,5000000.0
3,22,90,5000000.0
3,22,110,5000000.0
3,22,140,13.402707074272946
3,22,150,5000000.0
3,29,20,5000000.0
3,29,40,5000000.0
3,29,70,5000000.0
3,29,80,4999790.257996591
3,29,110,5000000.0
3,29,120,5000000.0
3,29,130,4999858.669827591
3,31,10,5000000.0
3,31,20,5000000.0
3,31,40,5000000.0
3,31,50,5000000.0
3,31,70,4999800.917356128
3,31,90,5000000.0
3,31,100,5000000.0
3,31,120,5000000.0
3,31,130,5000000.0
3,31,140,5000000.0
3,38,60,5000000.0
3,38,70,5000000.0
3,38,80,5000000.0
3,38,90,5000000.0
3,38,100,5000000.0
3,38,110,5000000.0
3,38,120,5000000.0
3,38,130,5000000.0
3,66,10,5000000.0
3,66,20,5000000.0
3,66,50,5000000.0
3,66,60,106.04196322086104
3,66,80,5000000.0
3,66,120,5000000.0
3,67,20,5000000.0
3,67,30,5000000.0
3,67,60,5000000.0
3,67,90,5000000.0
3,67,140,5000000.0
3,67,150,5000000.0
4,1,50,5000000.0
4,1,90,5000000.0
4,1,100,5000000.0
4,1,110,5000000.0
4,2,20,5000000.0
4,2,40,5000000.0
4,2,50,5000000.0
4,2,70,5000000.0
4,2,130,5000000.0
4,4,10,5000000.0
4,4,20,5000000.0
4,4,30,5000000.0
4,4,40,5000000.0
4,4,50,5000000.0
4,4,60,5000000.0
4,4,70,5000000.0
4,4,80,5000000.0
4,4,90,5000000.0
4,4,100,5000000.0
4,4,110,5000000.0
4,4,120,5000000.0
4,4,130,5000000.0
4,4,140,5000000.0
4,4,150,5000000.0
4,10,20,5000000.0
4,10,40,5000000.0
4,10,70,5000000.0
4,10,80,5000000.0
4,10,90,4999859.651258318
4,10,120,5000000.0
4,10,130,380.9606332869471
4,10,140,5000000.0
4,10,150,5000000.0
4,12,20,5000000.0
4,12,30,5000000.0
