region,timePeriod,V
1,1,0.0
1,2,48339.8340056775
1,3,35946.335350741385
1,4,27260.386800417382
1,5,20709.533910234186
1,6,15774.889004883515
1,7,12056.924916504295
1,8,9254.945053343903
1,9,7142.5537959574685
1,10,5549.30430611463
1,11,4346.876736436719
1,12,3397.2873719824606
1,13,2678.2726469532895
1,14,2132.5281263454567
1,15,1717.4063808148292
1,16,1397.0458658176296
1,17,1151.043575589256
1,18,960.691227083811
1,19,814.3057662061019
1,20,700.2003664431011
1,21,610.4498105959202
1,22,539.0673168884304
1,23,547.6251600730873
1,24,551.62114057308
1,25,508.721595959682
1,26,519.0957878306879
1,27,488.4083643598202
1,28,463.1630691417041
1,29,478.2682483886691
1,30,453.49607645319793
1,31,467.63832488387726
1,32,475.4138738538613
1,33,479.7088096131569
1,34,480.89151363941966
1,35,465.6247945108478
1,36,451.7326462703492
1,37,453.7576596460034
1,38,453.0402117110507
1,39,450.4485806502685
1,40,440.1627515911424
1,41,430.23539997770683
1,42,420.53472034125446
1,43,418.0323202130871
1,44,410.8288253914118
1,45,403.3854359299341
1,46,395.75496437582154
1,47,388.09823460306154
1,48,380.32332441246007
1,49,372.5520232089461
1,50,364.72976051739687
1,51,359.278964352293
1,52,353.3559803471501
1,53,347.1409725551406
1,54,340.7879372115789
1,55,334.22429726670646
1,56,327.7140593564935
1,57,321.0852972345255
1,58,317.35304618387363
1,59,312.99543707243345
1,60,308.23503186119814
1,61,303.20059217339457
1,62,297.9217449536676
1,63,292.5309999975081
1,64,287.08323198028614
1,65,281.76200046407547
1,66,276.4199365308473
1,67,271.09144900747526
1,68,265.7985949447211
1,69,260.55782904922813
1,70,255.3810260679385
1,71,250.2766240667556
1,72,245.4051077784465
1,73,240.5697460351257
1,74,235.79575173428657
1,75,231.08833405784847
1,76,226.4516210869492
1,77,221.89538416217837
1,78,217.41263079185046
1,79,213.15650972258464
1,80,208.94499853346537
1,81,204.7888926625861
1,82,200.693935662408
1,83,196.664081847182
1,84,192.70390966038826
1,85,188.80898809054702
1,86,185.10338800589906
1,87,181.4526567002737
1,88,177.86274781897703
1,89,174.33540448144092
1,90,170.83255433037255
1,91,167.39002668003522
1,92,164.00846723623977
1,93,160.77081077761636
1,94,157.57443203279928
1,95,154.44658674987568
1,96,151.3468669295811
1,97,148.29968395293162
1,98,145.3072973421583
1,99,142.36613553893898
1,100,139.5627482841724
1,101,136.79353015565408
1,102,134.06298208121817
1,103,131.375348714163
1,104,128.73217261941411
1,105,126.13469600382814
1,106,123.58359825832959
1,107,121.15571289670396
1,108,118.76471668713597
1,109,116.39809049439668
1,110,114.06664164780277
1,111,111.77460030137696
1,112,109.51998815552446
1,113,107.30621210722788
1,114,105.19380406185783
1,115,103.10697862568071
1,116,101.0489855288686
1,117,99.02325028873324
1,118,97.03091038758552
1,119,95.07397910231367
1,120,93.14983017371715
1,121,91.32313589657628
1,122,89.51616889079622
1,123,87.73374230110285
1,124,85.97800989851883
1,125,84.25054409062058
1,126,82.5523599213941
1,127,80.88405726620054
