region,timePeriod,R
0,0,0.0
0,1,0.0
0,2,17.275781247764826
0,3,21.594726559706032
0,4,22.674462887691334
0,5,22.94439696968766
0,6,23.01188049018674
0,7,23.02875137031151
0,8,23.032969090342704
0,9,23.0340235203505
0,10,23.03428712561115
0,11,23.03435302692631
0,12,23.034369502255103
0,13,23.0343736210873
0,14,23.03437465079535
0,15,23.034374908222365
0,16,23.03437497257912
0,17,23.034374988668308
0,18,23.034374988668308
0,19,23.034374988668308
0,20,23.034374988668308
0,21,23.034374988668308
0,22,23.034374988668308
0,23,23.034374988668308
0,24,23.034374988668308
0,25,23.034374988668308
0,26,23.034374988668308
0,27,23.034374988668308
0,28,23.034374988668308
0,29,23.034374988668308
0,30,23.034374988668308
0,31,23.034374988668308
0,32,23.034374988668308
0,33,23.034374988668308
0,34,23.034374988668308
0,35,23.034374988668308
0,36,23.034374988668308
0,37,23.034374988668308
0,38,23.034374988668308
0,39,23.034374988668308
0,40,23.034374988668308
0,41,23.034374988668308
0,42,23.034374988668308
0,43,23.034374988668308
0,44,23.034374988668308
0,45,23.034374988668308
0,46,23.034374988668308
0,47,23.034374988668308
0,48,23.034374988668308
0,49,23.034374988668308
0,50,23.034374988668308
0,51,23.034374988668308
0,52,23.034374988668308
1,0,0.0
1,1,0.0
1,2,2.7021093615330756
1,3,3.3776367019163445
1,4,3.5465185370121617
1,5,3.588738995786116
1,6,3.5992941104796046
1,7,3.6019328891529767
1,8,3.6025925838210267
1,9,3.602757507488039
1,10,3.6027987384047924
1,11,3.6028090461339803
1,12,3.6028116230662772
1,13,3.6028122672993517
1,14,3.60281242835762
1,15,3.6028124686221874
1,16,3.6028124686221874
1,17,3.6028124686221874
1,18,3.6028124686221874
1,19,3.6028124686221874
1,20,3.6028124686221874
1,21,3.6028124686221874
1,22,3.6028124686221874
1,23,3.6028124686221874
1,24,3.6028124686221874
1,25,3.6028124686221874
1,26,3.6028124686221874
1,27,3.6028124686221874
1,28,3.6028124686221874
1,29,3.6028124686221874
1,30,3.6028124686221874
1,31,3.6028124686221874
1,32,3.6028124686221874
1,33,3.6028124686221874
1,34,3.6028124686221874
1,35,3.6028124686221874
1,36,3.6028124686221874
1,37,3.6028124686221874
1,38,3.6028124686221874
1,39,3.6028124686221874
1,40,3.6028124686221874
1,41,3.6028124686221874
1,42,3.6028124686221874
1,43,3.6028124686221874
1,44,3.6028124686221874
1,45,3.6028124686221874
1,46,3.6028124686221874
1,47,3.6028124686221874
1,48,3.6028124686221874
1,49,3.6028124686221874
1,50,3.6028124686221874
1,51,3.6028124686221874
1,52,3.6028124686221874
2,0,0.0
2,1,0.0
2,2,4.932562496513128
2,3,6.16570312064141
2,4,6.473988276673481
2,5,6.5510595656814985
2,6,6.570327387933503
2,7,6.575144343496504
2,8,6.576348582387254
2,9,6.576649642109942
2,10,6.5767249070392335
2,11,6.576743723271557
2,12,6.576748427329638
2,13,6.576749603344158
2,14,6.5767498973477885
2,15,6.576749970848696
2,16,6.576749970848696
2,17,6.576749970848696
2,18,6.576749970848696
2,19,6.576749970848696
2,20,6.576749970848696
2,21,6.576749970848696
2,22,6.576749970848696
2,23,6.576749970848696
2,24,6.576749970848696
2,25,6.576749970848696
2,26,6.576749970848696
2,27,6.576749970848696
2,28,6.576749970848696
2,29,6.576749970848696
2,30,6.576749970848696
2,31,6.576749970848696
2,32,6.576749970848696
2,33,6.576749970848696
2,34,6.576749970848696
2,35,6.576749970848696
2,36,6.576749970848696
2,37,6.576749970848696
2,38,6.576749970848696
2,39,6.576749970848696
2,40,6.576749970848696
2,41,6.576749970848696
2,42,6.576749970848696
2,43,6.576749970848696
2,44,6.576749970848696
2,45,6.576749970848696
2,46,6.576749970848696
2,47,6.576749970848696
2,48,6.576749970848696
2,49,6.576749970848696
2,50,6.576749970848696
2,51,6.576749970848696
2,52,6.576749970848696
3,0,0.0
3,1,0.0
3,2,1.3875000005134859
3,3,1.7343750006418572
3,4,1.8210937506739502
3,5,1.8427734381819734
3,6,1.8481933600589793
3,7,1.8495483405282307
3,8,1.8498870856455436
3,9,1.8499717719248718
3,10,1.8499929434947038
3,11,1.8499982363871619
3,12,1.8499995596102763
3,13,1.849999890416055
3,14,1.849999890416055
3,15,1.849999890416055
3,16,1.849999890416055
3,17,1.849999890416055
3,18,1.849999890416055
3,19,1.849999890416055
3,20,1.849999890416055
3,21,1.849999890416055
3,22,1.849999890416055
3,23,1.849999890416055
3,24,1.849999890416055
3,25,1.849999890416055
3,26,1.849999890416055
3,27,1.849999890416055
3,28,1.849999890416055
3,29,1.849999890416055
3,30,1.849999890416055
3,31,1.849999890416055
3,32,1.849999890416055
3,33,1.849999890416055
3,34,1.849999890416055
3,35,1.849999890416055
3,36,1.849999890416055
3,37,1.849999890416055
3,38,1.849999890416055
3,39,1.849999890416055
3,40,1.849999890416055
3,41,1.849999890416055
3,42,1.849999890416055
3,43,1.849999890416055
3,44,1.849999890416055
3,45,1.849999890416055
3,46,1.849999890416055
3,47,1.849999890416055
3,48,1.849999890416055
3,49,1.849999890416055
3,50,1.849999890416055
3,51,1.849999890416055
3,52,1.849999890416055
4,0,0.0
4,1,0.0
4,2,14.495624996256083
4,3,18.119531245320104
4,4,19.02550780758611
4,5,19.25200194815261
4,6,19.308625483294236
4,7,19.322781367079642
4,8,19.326320338025994
4,9,19.32720508076258
4,10,19.327426266445354
4,11,19.327481562866048
4,12,19.327495386971222
4,13,19.327498842997514
4,14,19.327499707004087
4,15,19.327499923005732
4,16,19.32749997700614
4,17,19.327499990506244
4,18,19.327499990506244
4,19,19.327499990506244
4,20,19.327499990506244
4,21,19.327499990506244
4,22,19.327499990506244
4,23,19.327499990506244
4,24,19.327499990506244
4,25,19.327499990506244
4,26,19.327499990506244
4,27,19.327499990506244
4,28,19.327499990506244
4,29,19.327499990506244
4,30,19.327499990506244
4,31,19.327499990506244
4,32,19.327499990506244
4,33,19.327499990506244
4,34,19.327499990506244
4,35,19.327499990506244
4,36,19.327499990506244
4,37,19.327499990506244
4,38,19.327499990506244
4,39,19.327499990506244
4,40,19.327499990506244
4,41,19.327499990506244
4,42,19.327499990506244
4,43,19.327499990506244
4,44,19.327499990506244
4,45,19.327499990506244
4,46,19.327499990506244
4,47,19.327499990506244
4,48,19.327499990506244
4,49,19.327499990506244
4,50,19.327499990506244
4,51,19.327499990506244
4,52,19.327499990506244
5,0,0.0
5,1,0.0
5,2,47.6351718736114
5,3,59.54396484201425
5,4,62.52116308411496
5,5,63.26546264464014
5,6,63.45153753477143
5,7,63.498056257304256
5,8,63.50968593793746
5,9,63.512593358095764
5,10,63.51332021312991
5,11,63.51350192688844
5,12,63.51354735532807
5,13,63.513558712437984
5,14,63.51356155171546
5,15,63.51356226153483
5,16,63.51356243898967
5,17,63.51356248335338
5,18,63.51356248335338
5,19,63.51356248335338
5,20,63.51356248335338
5,21,63.51356248335338
5,22,63.51356248335338
5,23,63.51356248335338
5,24,63.51356248335338
5,25,63.51356248335338
5,26,63.51356248335338
5,27,63.51356248335338
5,28,63.51356248335338
5,29,63.51356248335338
5,30,63.51356248335338
5,31,63.51356248335338
5,32,63.51356248335338
5,33,63.51356248335338
5,34,63.51356248335338
5,35,63.51356248335338
5,36,63.51356248335338
5,37,63.51356248335338
5,38,63.51356248335338
5,39,63.51356248335338
5,40,63.51356248335338
5,41,63.51356248335338
5,42,63.51356248335338
5,43,63.51356248335338
5,44,63.51356248335338
5,45,63.51356248335338
5,46,63.51356248335338
5,47,63.51356248335338
5,48,63.51356248335338
5,49,63.51356248335338
5,50,63.51356248335338
5,51,63.51356248335338
