region,timePeriod,I
1,1,5085.0266692832
1,2,4017.171068733728
1,3,3231.814644276487
1,4,2596.448903076068
1,5,2084.0433995245967
1,6,1671.3492739862636
1,7,1339.374667700033
1,8,1072.6345820074137
1,9,858.5335285751362
1,10,686.8482648984864
1,11,714.8274727992075
1,12,742.2251109233891
1,13,769.327820645253
1,14,876.1199188222635
1,15,905.8493326979999
1,16,936.0001367005196
1,17,966.6995812065459
1,18,998.0542757325339
1,19,1030.1515912088782
1,20,1063.0675289846317
1,21,1170.6842188716482
1,22,925.5761249303702
1,23,731.8547148118432
1,24,755.2020992888982
1,25,597.2743619126202
1,26,616.4028766550427
1,27,636.136876255685
1,28,576.9545193679849
1,29,595.3982209667081
1,30,470.94090780300775
1,31,372.5897799365023
1,32,294.9094303313219
1,33,233.55132367973818
1,34,241.3694638293939
1,35,208.90354160468914
1,36,165.59487574509
1,37,131.3642896773769
1,38,104.32456682500118
1,39,108.10454185168803
1,40,111.99857318877395
1,41,116.00092507329326
1,42,55.20045541208753
1,43,57.41841386787345
1,44,59.70211364363429
1,45,62.04792790118362
1,46,64.45749311641588
1,47,66.93256013509762
1,48,69.47512787198232
1,49,35.128437389115646
1,50,36.66634413614501
1,51,38.24250016578896
1,52,39.86094882297292
1,53,41.52243219280331
1,54,43.227932462709155
1,55,44.978647833392635
1,56,0.0
1,57,0.3948954415245747
1,58,0.6988751819720171
1,59,0.9345218144094614
1,60,1.1154317350540912
1,61,1.5214333322335116
1,62,1.9339544791016907
1,63,0.0
1,64,0.35249985499699726
1,65,0.7093626450381489
1,66,1.0708760975935423
1,67,1.4371592801386128
1,68,1.8083764138769174
1,69,2.1847233896154905
1,70,0.1702083693888875
1,71,0.442198748229087
1,72,0.757490241424629
1,73,1.0766855937818205
1,74,1.3999493911613832
1,75,1.7274817031272014
1,76,2.059495078463852
1,77,0.0
1,78,0.2673839379154249
1,79,0.5376550600949829
1,80,0.8111759611736417
1,81,1.0881011392028501
1,82,1.3686028901765546
1,83,1.6528657722452298
1,84,0.0
1,85,0.23220821114076784
1,86,0.4109593174503158
1,87,0.5477074433328579
1,88,0.6513393315567849
1,89,0.8858554619569124
1,90,1.1233911436777129
1,91,0.0
1,92,0.20170498214944244
1,93,0.4055880396157441
1,94,0.5234397635975945
1,95,0.729543586868643
1,96,0.938267575095171
1,97,1.1497268445732665
1,98,0.0
1,99,0.17509529329730075
1,100,0.3520744407139385
1,101,0.5311618600584983
1,102,0.7124640815578748
1,103,0.8960963614940367
1,104,1.0821826439009183
1,105,0.0
1,106,0.1519923086846129
1,107,0.2689921597621313
1,108,0.4233235507552856
1,109,0.5795580644366981
1,110,0.7377840634799837
1,111,0.8981056726334655
1,112,0.045905579858037365
1,113,0.1793002385610435
1,114,0.31416253154564544
1,115,0.4506601039180991
1,116,0.5888744763835054
1,117,0.7288936127136805
1,118,0.8708123313057281
1,119,0.0
1,120,0.11456414481828797
1,121,0.23036117866698402
1,122,0.3475467539610349
1,123,0.46618768684723644
1,124,0.5863586646123295
1,125,0.7081392851430269
1,126,0.0
1,127,0.09947559370527988
1,128,0.2000246261159152
1,129,0.301777106856814
1,130,0.4047918934115335
1,131,0.5091340530112036
1,132,0.6148729731101503
1,133,0.04868254941665981
1,134,0.1365630953608769
1,135,0.22542127239582074
1,136,0.31536891198905087
1,137,0.40645910558843096
1,138,0.4987506555003205
1,139,0.5923058166189332
1,140,0.0
1,141,0.07497942750751008
1,142,0.15080866820337976
1,143,0.22753840909979764
1,144,0.30521501653429395
1,145,0.38388881022657817
1,146,0.46361342230146346
1,147,0.0
1,148,0.06511747900117737
1,149,0.1152421968798997
1,150,0.15358703288756048
1,151,0.18264488150015049
1,152,0.20438675791419011
1,153,0.2203703783871755
1,154,0.0
1,155,0.05658515282238848
2,1,857.966315352209
2,2,634.0371070452825
2,3,474.3415984205424
2,4,354.89005853828934
2,5,265.61055558034525
2,6,198.87497396481658
2,7,148.9866003294717
2,8,111.68738236853089
2,9,83.79774239231362
2,10,62.94116305860462
2,11,66.72761718012973
2,12,70.55055719901266
2,13,74.43804854799228
2,14,208.08614982070864
2,15,218.28167495890673
2,16,228.903693760287
2,17,239.96838803417555
2,18,251.50878554978456
2,19,263.5562348877448
2,20,194.966005444831
2,21,242.57703530359206
2,22,179.45065734753868
2,23,132.80772131424524
2,24,139.24851273390112
2,25,103.1067745370421
2,26,76.38407104894254
2,27,56.64066467000197
2,28,157.82090534244696
2,29,165.43502588573205
2,30,173.40031329575677
2,31,175.1974035121728
2,32,183.58890878674126
2,33,192.3646360730899
2,34,201.54182203635585
2,35,285.9967334694636
2,36,299.5560475166059
2,37,296.089904309747
2,38,218.90277901660963
2,39,161.85371248873162
2,40,119.71710104263866
2,41,88.59454826567053
2,42,126.2748550362169
2,43,132.35399057085039
2,44,138.7139015395859
2,45,145.3641858080121
2,46,152.31937144525537
2,47,159.59458427117895
2,48,118.0499780864448
2,49,157.08242863603445
2,50,116.20006030583211
2,51,85.98284264274879
2,52,89.84611166908529
2,53,94.19663533626151
2,54,98.74620853135943
2,55,73.09088810980057
2,56,62.95205164271547
2,57,46.64111204243152
2,58,34.59177840770604
2,59,25.69038102114051
2,60,19.11381046102934
2,61,14.254419277020716
2,62,10.663270936505018
2,63,8.06841643348044
2,64,6.090147961723337
2,65,4.626796663577875
2,66,3.5437561237257875
2,67,2.7416024094113154
2,68,2.1468789254395535
2,69,1.7053733308275603
2,70,0.9265614209417702
2,71,0.7994079966397931
2,72,0.7033362626254372
2,73,0.6302329351171149
2,74,0.5741113893960994
2,75,0.5305555001780843
2,76,0.4963089764323986
2,77,0.018487110641866884
2,78,0.11385070184854143
2,79,0.18235131684919706
2,80,0.23103305163626836
2,81,0.2651019506648215
