0,78.58,244.5,40.12,163.61,299.94,200.36,215.98,86.3,57.65,334.86,57.26,223.65,74.08,81.37,320.54,90.29,217.44,158.34,41.65,247.49,235.74,74.79,196.48,285.41,101.69,217.69,132.34,235.36,185.01,195.73,117.99,80.28,88.54,232.61,137.78,53.85,186.91,103.57,167.77,58.17,237.66,351.87,331.2,90.69,261.92,193.89,126.96,173.6,281.77,135.49,150.84,161.03,59.81,305.67,197.05,130.05,103.41,207.19,78.52,70.53,109.2,41.97,134.1,171.96,240.97,222.12
78.58,0,230.94,43.51,198.84,383.4,186.63,282.57,151.94,61.39,400.41,36.86,288.81,107.73,47.66,306.81,111.21,214.91,144.61,83.97,313.03,222.01,61.69,262.02,350.95,167.23,283.23,197.88,221.63,228.07,182,104.26,88.14,154.09,298.16,124.05,119.59,173.18,89.84,233.31,110.43,274.39,394.99,396.74,57.68,248.19,259.43,182.31,239.14,324.89,201.03,216.38,226.57,96.12,291.94,262.59,167.09,82.02,246.96,144.06,64.41,110.02,38.69,134.4,160.55,227.24,208.39
244.5,230.94,0,244.2,387.05,521.93,45.88,439.42,297.23,271.03,556.85,204.15,445.64,214.95,253.1,147.97,316.66,123.34,91.43,242.78,469.47,63.98,199.78,418.46,507.39,319.53,439.67,354.32,88.4,407,66.06,136.91,200.89,310.53,454.6,115.87,253.45,86.53,165,389.75,280.15,459.64,573.85,553.18,263.13,89.35,415.87,348.94,395.58,503.75,357.47,372.82,383.01,296.3,133.1,419.03,352.03,287.46,429.17,300.5,193.02,173.97,225.53,339.85,115.64,63.91,41.4
40.12,43.51,244.2,0,191.73,326.05,199.27,244.1,112.51,28.86,360.97,45.32,249.76,109.48,52.16,319.45,83.45,227.54,157.24,64.29,273.59,234.64,73.7,222.58,311.52,127.79,243.79,158.45,234.27,211.12,194.64,116.9,92.37,114.65,258.72,136.69,81.99,185.82,102.47,193.88,71,263.76,377.97,357.3,61.48,260.83,220,153.06,199.71,307.88,161.6,176.95,187.14,56.9,304.58,223.15,156.16,69.42,233.29,104.63,69.44,122.66,18.84,138.03,173.19,239.88,221.03
163.61,198.84,387.05,191.73,0,152.94,342.91,203.81,131.19,183.59,248.25,199.81,179.56,209.27,155.58,463.09,104.31,352.63,300.89,188.92,128.23,378.28,217.34,152.06,197.49,138.62,129.22,130.28,377.91,37.94,338.28,260.54,236.67,90.04,224.58,280.33,174.47,329.46,246.12,165.71,138.8,84.26,204.86,233.28,184.59,404.47,85.24,57.41,44.9,134.76,164.21,153.28,111.99,150.76,448.22,194.99,66.47,128.03,56.83,109.2,213.08,245.43,195.63,82.21,307.16,383.52,364.67
299.94,383.4,521.93,326.05,152.94,0,503.4,136.46,283.41,368.15,103.77,360.3,140.56,369.76,340.14,623.58,288.87,513.12,461.37,349.41,134.9,538.77,377.83,168.49,79.53,255.36,167.22,205.92,538.4,172.36,498.77,421.03,397.16,264.34,97.99,440.82,328.76,489.95,406.6,180.78,299.29,143.1,99.08,100.11,369.15,564.96,184.32,241.97,231.36,120.01,250.58,200.28,218.14,335.32,608.71,179.06,251.04,312.59,149.84,259.29,373.57,405.92,356.12,266.77,467.65,544.01,525.16
200.36,186.63,45.88,199.27,342.91,503.4,0,395.27,253,226.81,512.62,159.93,401.52,170.72,208.88,165.75,272.43,92.04,52.86,198.55,425.24,47.27,155.55,374.23,463.16,275.31,395.44,310.1,80.58,362.77,36.28,92.69,156.66,266.3,410.37,71.64,209.22,47.96,120.77,345.53,235.92,415.41,529.62,508.95,218.91,107.14,371.65,304.71,351.36,459.52,313.25,328.6,338.79,252.07,150.89,374.8,307.81,243.24,384.94,256.28,148.8,129.74,181.31,295.62,77.07,82.41,59.81
215.98,282.57,439.42,244.1,203.81,136.46,395.27,0,175.29,261.63,138.12,252.18,28.99,261.64,285.36,515.45,245.14,405,353.25,241.28,69.05,430.65,269.7,55.06,93.24,147.23,81.78,97.79,430.27,172.08,390.65,312.9,289.03,175.01,35.87,332.69,220.63,381.82,298.48,72.66,191.16,198.66,186.95,134.45,294.68,456.83,100.25,172.79,203.64,139.74,142.46,92.15,105.56,244.74,500.58,70.94,181.69,268.86,196.19,151.17,265.44,297.79,248,219.35,359.52,435.88,417.03
86.3,151.94,297.23,112.51,131.19,283.41,253,175.29,0,130.57,292.15,121.11,180.91,94.61,154.29,372.76,137.89,237.97,210.56,86.16,212.78,287.96,138.64,153.76,250.7,29.9,182.98,89.63,287.58,150.3,247.95,164.32,122.01,53.83,189.9,190,51.8,239.13,167.41,125.06,59.94,202.95,317.16,288.48,163.61,314.14,159.18,92.25,138.89,247.06,92.78,108.13,126.32,113.67,357.89,154.33,95.34,157.27,172.48,43.56,121.99,130.77,116.93,131.61,192.5,293.19,274.34
57.65,61.39,271.03,28.86,183.59,368.15,226.81,261.63,130.57,0,379.53,69.49,267.88,128.41,46.57,348.49,73.67,256.59,186.29,91.47,292.15,263.69,103.38,241.14,330.07,146.35,262.35,177.01,263.31,211.54,223.69,145.94,129.83,133.21,277.28,165.73,100.55,214.86,131.52,212.44,89.55,257.86,378.46,375.86,65.05,289.87,238.56,165.78,218.27,308.36,180.16,195.51,205.7,50.89,333.62,241.71,150.56,44.52,230.43,123.19,106.09,151.7,43.01,117.87,202.24,268.92,250.07
